City,Suburb,"Sales
1Q 2019","Median
1Q 2019","Sales
1Q 2020","Median
1Q 2020","Median
Change"
ADELAIDE,ADELAIDE,4,1002500,6,810000,-0.192
ADELAIDE,NORTH ADELAIDE,10,972000,15,1360000,0.3992
ADELAIDE HILLS,ALDGATE,16,830000,10,797500,-0.0392
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,13,640000,13,775000,0.2109
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,16,568750,13,505000,-0.1121
ADELAIDE HILLS,CAREY GULLY,,,1,970000,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,732500,7,795000,0.0853
ADELAIDE HILLS,CRAFERS WEST,6,627750,5,935000,0.4894
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,4,574000,2,699000,0.2178
ADELAIDE HILLS,HEATHFIELD,4,718000,1,580000,-0.1922
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,1,620000,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,1,563000,,,
ADELAIDE HILLS,MYLOR,1,600000,1,435000,-0.275
ADELAIDE HILLS,NORTON SUMMIT,1,630000,,,
ADELAIDE HILLS,PICCADILLY,1,775000,,,
ADELAIDE HILLS,ROSTREVOR,30,662500,36,628250,-0.0517
ADELAIDE HILLS,SCOTT CREEK,,,1,675000,
ADELAIDE HILLS,STIRLING,5,736279,12,737500,0.0017
ADELAIDE HILLS,STONYFELL,3,800000,2,920000,0.15
ADELAIDE HILLS,SUMMERTOWN,3,710000,,,
ADELAIDE HILLS,TERINGIE,2,657500,1,695000,0.057
ADELAIDE HILLS,UPPER STURT,5,507000,4,515000,0.0158
ADELAIDE HILLS,URAIDLA,1,670000,1,550000,-0.1791
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,2,1005000,2,684500,-0.3189
BURNSIDE,AULDANA,1,2460000,,,
BURNSIDE,BEAUMONT,7,955000,7,880000,-0.0785
BURNSIDE,BEULAH PARK,6,918000,5,850000,-0.0741
BURNSIDE,BURNSIDE,5,921000,10,1110000,0.2052
BURNSIDE,DULWICH,3,1250000,6,1130000,-0.096
BURNSIDE,EASTWOOD,,,1,671000,
