City,Suburb,"Sales
4Q 2019","Median
4Q 2019","Sales
4Q 2020","Median
4Q 2020","Median
Change"
ADELAIDE,ADELAIDE,4,770117,3,864750,0.1229
ADELAIDE,NORTH ADELAIDE,10,1352500,7,1600000,0.183
ADELAIDE HILLS,ALDGATE,15,751000,19,863750,0.1501
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,1,375000,,,
ADELAIDE HILLS,BELAIR,12,775506,22,668000,-0.1386
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,15,515000,17,508500,-0.0126
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,1,618500,1,610000,-0.0137
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,14,650000,12,722500,0.1115
ADELAIDE HILLS,CRAFERS WEST,8,957500,3,650000,-0.3211
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,5,696000,4,687500,-0.0122
ADELAIDE HILLS,HEATHFIELD,5,600000,8,728650,0.2144
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,1,605000,1,750000,0.2397
ADELAIDE HILLS,MARBLE HILL,,,1,650000,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,2,615000,,,
ADELAIDE HILLS,MYLOR,,,1,645000,
ADELAIDE HILLS,NORTON SUMMIT,,,2,762500,
ADELAIDE HILLS,PICCADILLY,2,565000,2,570000,0.0088
ADELAIDE HILLS,ROSTREVOR,32,600000,34,650000,0.0833
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,15,842500,10,867500,0.0297
ADELAIDE HILLS,STONYFELL,5,1100000,6,870000,-0.2091
ADELAIDE HILLS,SUMMERTOWN,1,761000,1,535000,-0.297
ADELAIDE HILLS,TERINGIE,4,767500,1,851000,0.1088
ADELAIDE HILLS,UPPER STURT,4,507500,3,680000,0.3399
ADELAIDE HILLS,URAIDLA,2,538500,3,585000,0.0864
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,5,727500,3,497000,-0.3168
BURNSIDE,AULDANA,5,955000,2,1072500,0.123
BURNSIDE,BEAUMONT,9,1140000,15,1150000,0.0088
BURNSIDE,BEULAH PARK,4,695030,6,858500,0.2352
BURNSIDE,BURNSIDE,14,870000,13,924000,0.0621
BURNSIDE,DULWICH,2,885000,3,1750000,0.9774
BURNSIDE,EASTWOOD,2,823500,1,960000,0.1658
BURNSIDE,ERINDALE,6,1180000,2,1122500,-0.0487
BURNSIDE,FREWVILLE,1,1020000,,,
BURNSIDE,GLEN OSMOND,4,1012500,3,1312944,0.2967
BURNSIDE,GLENSIDE,7,1007950,3,972000,-0.0357
BURNSIDE,GLENUNGA,5,941500,6,1224000,0.3001
BURNSIDE,HAZELWOOD PARK,5,1255000,8,935557,-0.2545
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,9,1060000,2,1394000,0.3151
BURNSIDE,KENSINGTON PARK,5,894000,10,1200000,0.3423
BURNSIDE,LEABROOK,4,1700000,1,2600000,0.5294
BURNSIDE,LEAWOOD GARDENS,1,1211000,,,
BURNSIDE,LINDEN PARK,10,1020944,8,927500,-0.0915
BURNSIDE,MAGILL,31,648000,38,650000,0.0031
BURNSIDE,MOUNT OSMOND,2,920000,1,950000,0.0326
BURNSIDE,ROSE PARK,3,1500000,,,
BURNSIDE,ROSSLYN PARK,4,893500,9,957500,0.0716
BURNSIDE,SKYE,3,718000,,,
BURNSIDE,ST GEORGES,5,919000,4,1390000,0.5125
BURNSIDE,STONYFELL,5,1100000,6,870000,-0.2091
BURNSIDE,TOORAK GARDENS,5,1450000,10,1720000,0.1862
BURNSIDE,TUSMORE,5,1175000,3,1432000,0.2187
BURNSIDE,WATERFALL GULLY,,,,,
BURNSIDE,WATTLE PARK,13,900000,7,844000,-0.0622
CAMPBELLTOWN,ATHELSTONE,17,572500,39,590500,0.0314
CAMPBELLTOWN,CAMPBELLTOWN,23,560500,34,550000,-0.0187
CAMPBELLTOWN,HECTORVILLE,11,493500,18,620000,0.2563
CAMPBELLTOWN,MAGILL,31,648000,38,650000,0.0031
CAMPBELLTOWN,NEWTON,25,543000,25,543000,0
CAMPBELLTOWN,PARADISE,15,510000,33,575000,0.1275
CAMPBELLTOWN,ROSTREVOR,32,600000,34,650000,0.0833
CAMPBELLTOWN,TRANMERE,9,641000,13,720000,0.1232
CHARLES STURT,ALBERT PARK,10,505000,8,525000,0.0396
CHARLES STURT,ALLENBY GARDENS,4,500000,3,630000,0.26
CHARLES STURT,ATHOL PARK,3,376750,11,445000,0.1812
CHARLES STURT,BEVERLEY,2,545000,6,480000,-0.1193
CHARLES STURT,BOWDEN,3,652000,2,606500,-0.0698
CHARLES STURT,BROMPTON,3,551500,11,571750,0.0367
CHARLES STURT,CHELTENHAM,8,443500,6,561500,0.2661
CHARLES STURT,CROYDON,4,645000,5,751000,0.1643
CHARLES STURT,DEVON PARK,1,477000,5,535000,0.1216
CHARLES STURT,FINDON,20,535000,17,560000,0.0467
CHARLES STURT,FLINDERS PARK,14,620000,24,625000,0.0081
CHARLES STURT,FULHAM GARDENS,18,746000,23,725000,-0.0282
CHARLES STURT,GRANGE,12,745000,5,745000,0
CHARLES STURT,HENDON,6,385000,4,470000,0.2208
CHARLES STURT,HENLEY BEACH,18,875000,19,893500,0.0211
CHARLES STURT,HENLEY BEACH SOUTH,8,810000,15,902500,0.1142
CHARLES STURT,HINDMARSH,,,,,
CHARLES STURT,KIDMAN PARK,8,590000,12,657000,0.1136
CHARLES STURT,KILKENNY,5,417000,6,545000,0.307
CHARLES STURT,OVINGHAM,1,678500,1,795000,0.1717
CHARLES STURT,PENNINGTON,11,412500,8,495000,0.2
CHARLES STURT,RENOWN PARK,2,483500,6,511000,0.0569
CHARLES STURT,RIDLEYTON,3,445000,5,562500,0.264
CHARLES STURT,ROSEWATER,16,450000,15,425000,-0.0556
CHARLES STURT,ROYAL PARK,9,438050,15,448000,0.0227
CHARLES STURT,SEATON,27,550000,35,604000,0.0982
CHARLES STURT,SEMAPHORE PARK,13,531000,20,577000,0.0866
CHARLES STURT,ST CLAIR,3,460000,7,590000,0.2826
CHARLES STURT,TENNYSON,2,1340000,4,1550000,0.1567
CHARLES STURT,WELLAND,1,430000,3,549000,0.2767
CHARLES STURT,WEST BEACH,11,811000,19,875000,0.0789
CHARLES STURT,WEST CROYDON,14,611500,13,589500,-0.036
CHARLES STURT,WEST HINDMARSH,4,490500,4,618750,0.2615
CHARLES STURT,WEST LAKES,25,841950,21,805000,-0.0439
CHARLES STURT,WEST LAKES SHORE,3,768000,14,705000,-0.082
CHARLES STURT,WOODVILLE,2,964000,5,818100,-0.1513
CHARLES STURT,WOODVILLE NORTH,6,433000,4,513500,0.1859
CHARLES STURT,WOODVILLE PARK,4,564500,3,675000,0.1957
CHARLES STURT,WOODVILLE SOUTH,18,525000,15,638000,0.2152
CHARLES STURT,WOODVILLE WEST,17,542000,9,537500,-0.0083
GAWLER,BIBARINGA,,,,,
GAWLER,EVANSTON,12,290000,11,310000,0.069
GAWLER,EVANSTON GARDENS,11,285000,15,349000,0.2246
GAWLER,EVANSTON PARK,22,418000,24,372375,-0.1092
GAWLER,EVANSTON SOUTH,1,375000,1,520000,0.3867
GAWLER,GAWLER,6,382500,4,367000,-0.0405
GAWLER,GAWLER EAST,26,378250,24,381500,0.0086
GAWLER,GAWLER SOUTH,12,325000,12,415000,0.2769
GAWLER,GAWLER WEST,4,235500,6,261750,0.1115
GAWLER,HILLIER,,,1,410000,
GAWLER,KUDLA,,,,,
GAWLER,REID,,,2,382500,
GAWLER,ULEYBURY,,,,,
GAWLER,WILLASTON,18,320500,16,295000,-0.0796
HOLDFAST BAY,BRIGHTON,10,700000,5,840000,0.2
HOLDFAST BAY,GLENELG,4,920000,4,1165000,0.2663
HOLDFAST BAY,GLENELG EAST,6,963000,10,950500,-0.013
