City,Suburb,"Sales
2Q 2019","Median
2Q 2019","Sales
2Q 2020","Median
2Q 2020","Median
Change"
ADELAIDE,ADELAIDE,4,677500,11,850000,0.2546
ADELAIDE,NORTH ADELAIDE,7,1698500,6,945000,-0.4436
ADELAIDE HILLS,ALDGATE,15,950000,9,795000,-0.1632
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,1,616000,
ADELAIDE HILLS,BELAIR,17,541250,12,672500,0.2425
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,20,483500,11,485000,0.0031
ADELAIDE HILLS,CAREY GULLY,,,1,630000,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,805000,11,810000,0.0062
ADELAIDE HILLS,CRAFERS WEST,5,600000,4,602500,0.0042
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,,,1,430000,
ADELAIDE HILLS,HEATHFIELD,2,950000,2,420000,-0.5579
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,1,705000,,,
ADELAIDE HILLS,MYLOR,2,656500,,,
ADELAIDE HILLS,NORTON SUMMIT,,,1,560000,
ADELAIDE HILLS,PICCADILLY,1,572315,,,
ADELAIDE HILLS,ROSTREVOR,36,604500,22,690000,0.1414
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,16,705000,14,872500,0.2376
ADELAIDE HILLS,STONYFELL,12,925000,7,1048888,0.1339
ADELAIDE HILLS,SUMMERTOWN,,,1,700000,
ADELAIDE HILLS,TERINGIE,3,726000,2,764500,0.053
ADELAIDE HILLS,UPPER STURT,,,2,670000,
ADELAIDE HILLS,URAIDLA,1,665000,1,815000,0.2256
ADELAIDE HILLS,WATERFALL GULLY,1,820750,,,
ADELAIDE HILLS,WOODFORDE,2,755000,,,
BURNSIDE,AULDANA,2,935000,1,2860000,2.0588
BURNSIDE,BEAUMONT,14,892500,12,950000,0.0644
BURNSIDE,BEULAH PARK,5,875000,11,1006000,0.1497
BURNSIDE,BURNSIDE,4,875500,6,758750,-0.1334
BURNSIDE,DULWICH,5,1192500,4,998500,-0.1627
BURNSIDE,EASTWOOD,3,615000,,,
BURNSIDE,ERINDALE,2,1096250,3,1170000,0.0673
BURNSIDE,FREWVILLE,3,950000,4,947500,-0.0026
BURNSIDE,GLEN OSMOND,5,940000,9,906000,-0.0362
BURNSIDE,GLENSIDE,25,898500,3,1076500,0.1981
BURNSIDE,GLENUNGA,6,1330000,6,1051888,-0.2091
BURNSIDE,HAZELWOOD PARK,4,878250,8,1202500,0.3692
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,8,1190000,7,966250,-0.188
BURNSIDE,KENSINGTON PARK,5,970000,2,948000,-0.0227
BURNSIDE,LEABROOK,3,1136000,1,1080000,-0.0493
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,5,840000,5,850000,0.0119
BURNSIDE,MAGILL,28,653000,23,775000,0.1868
BURNSIDE,MOUNT OSMOND,2,750000,3,860000,0.1467
BURNSIDE,ROSE PARK,4,1800500,1,860000,-0.5224
BURNSIDE,ROSSLYN PARK,2,893500,4,915000,0.0241
BURNSIDE,SKYE,,,,,
BURNSIDE,ST GEORGES,7,1380000,6,1140000,-0.1739
BURNSIDE,STONYFELL,12,925000,7,1048888,0.1339
BURNSIDE,TOORAK GARDENS,11,1330000,14,1425000,0.0714
BURNSIDE,TUSMORE,3,1863500,5,1268000,-0.3196
BURNSIDE,WATERFALL GULLY,1,820750,,,
BURNSIDE,WATTLE PARK,6,1025000,7,950000,-0.0732
CAMPBELLTOWN,ATHELSTONE,33,578000,33,590000,0.0208
CAMPBELLTOWN,CAMPBELLTOWN,31,555000,27,546000,-0.0162
CAMPBELLTOWN,HECTORVILLE,13,595000,10,566000,-0.0487
CAMPBELLTOWN,MAGILL,28,653000,23,775000,0.1868
CAMPBELLTOWN,NEWTON,12,549000,13,570000,0.0383
CAMPBELLTOWN,PARADISE,13,488000,13,477500,-0.0215
CAMPBELLTOWN,ROSTREVOR,36,604500,22,690000,0.1414
CAMPBELLTOWN,TRANMERE,12,655000,17,680000,0.0382
CHARLES STURT,ALBERT PARK,8,487500,9,450000,-0.0769
CHARLES STURT,ALLENBY GARDENS,5,535000,4,890000,0.6636
CHARLES STURT,ATHOL PARK,6,376500,6,414000,0.0996
CHARLES STURT,BEVERLEY,5,490000,8,470000,-0.0408
CHARLES STURT,BOWDEN,1,511000,2,586000,0.1468
CHARLES STURT,BROMPTON,8,575000,5,580000,0.0087
CHARLES STURT,CHELTENHAM,6,555000,2,471000,-0.1514
CHARLES STURT,CROYDON,2,660000,2,615000,-0.0682
CHARLES STURT,DEVON PARK,2,485000,4,568000,0.1711
CHARLES STURT,FINDON,21,560000,14,560000,0
CHARLES STURT,FLINDERS PARK,20,598500,20,560000,-0.0643
CHARLES STURT,FULHAM GARDENS,18,667500,13,725000,0.0861
CHARLES STURT,GRANGE,16,780000,20,848500,0.0878
CHARLES STURT,HENDON,4,450000,2,480000,0.0667
