City,Suburb,"Sales
4Q 2017","Median
4Q 2017","Sales
4Q 2018","Median
4Q 2018","Median
Change"
ADELAIDE,ADELAIDE,6,780500,4,1660750,1.1278
ADELAIDE,NORTH ADELAIDE,6,1090000,9,1395000,0.2798
ADELAIDE HILLS,ALDGATE,10,648500,9,747500,0.1527
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,1,640000,
ADELAIDE HILLS,BELAIR,14,585000,19,670000,0.1453
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,18,448000,15,470000,0.0491
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,5,830000,6,770000,-0.0723
ADELAIDE HILLS,CRAFERS WEST,6,695500,3,818000,0.1761
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,570000,2,556250,-0.0241
ADELAIDE HILLS,HEATHFIELD,3,635000,5,648000,0.0205
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,1,580000,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,2,645000,2,407500,-0.3682
ADELAIDE HILLS,NORTON SUMMIT,1,730000,1,530000,-0.274
ADELAIDE HILLS,PICCADILLY,,,2,715500,
ADELAIDE HILLS,ROSTREVOR,38,638000,26,637500,-0.0008
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,9,675000,12,900000,0.3333
ADELAIDE HILLS,STONYFELL,5,1075000,2,1015000,-0.0558
ADELAIDE HILLS,SUMMERTOWN,3,570000,1,702112,0.2318
ADELAIDE HILLS,TERINGIE,1,810000,1,1701250,1.1003
ADELAIDE HILLS,UPPER STURT,4,520000,4,533500,0.026
ADELAIDE HILLS,URAIDLA,4,487500,1,465000,-0.0462
ADELAIDE HILLS,WATERFALL GULLY,1,1065000,2,1015000,-0.0469
ADELAIDE HILLS,WOODFORDE,3,571000,4,899000,0.5744
BURNSIDE,AULDANA,2,1157500,4,1362500,0.1771
BURNSIDE,BEAUMONT,12,1022000,9,870000,-0.1487
BURNSIDE,BEULAH PARK,8,733000,6,797500,0.088
BURNSIDE,BURNSIDE,3,825000,17,860000,0.0424
BURNSIDE,DULWICH,4,1443000,2,1187500,-0.1771
BURNSIDE,EASTWOOD,2,746000,4,692500,-0.0717
BURNSIDE,ERINDALE,7,1410000,4,1160000,-0.1773
BURNSIDE,FREWVILLE,4,815000,1,1075000,0.319
BURNSIDE,GLEN OSMOND,8,1100000,7,835000,-0.2409
BURNSIDE,GLENSIDE,3,1040000,3,710000,-0.3173
BURNSIDE,GLENUNGA,8,1210000,7,1530000,0.2645
BURNSIDE,HAZELWOOD PARK,5,1221000,6,795000,-0.3489
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,8,975000,8,1040000,0.0667
BURNSIDE,KENSINGTON PARK,11,981500,7,948500,-0.0336
BURNSIDE,LEABROOK,1,1900000,3,2294500,0.2076
BURNSIDE,LEAWOOD GARDENS,1,590500,,,
BURNSIDE,LINDEN PARK,5,989444,8,990000,0.0006
BURNSIDE,MAGILL,45,642000,28,670000,0.0436
BURNSIDE,MOUNT OSMOND,1,701000,,,
BURNSIDE,ROSE PARK,1,1146000,6,1562000,0.363
