City,Suburb,"Sales
1Q 2022","Median
1Q 2022","Sales
1Q 2023","Median
1Q 2023","Median
Change"
ADELAIDE,ADELAIDE,2,1266250,2,1205000,-0.0484
ADELAIDE,NORTH ADELAIDE,4,1617500,5,1850000,0.1437
ADELAIDE HILLS,ALDGATE,6,870000,13,1110000,0.2759
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,16,1110000,9,910000,-0.1802
ADELAIDE HILLS,BRADBURY,,,1,947000,
ADELAIDE HILLS,BRIDGEWATER,19,722000,18,835000,0.1565
ADELAIDE HILLS,CAREY GULLY,1,1450000,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,6,1172500,5,1300000,0.1087
ADELAIDE HILLS,CRAFERS WEST,4,725000,7,950000,0.3103
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,1,897000,,,
ADELAIDE HILLS,HEATHFIELD,,,3,990000,
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,1,700000,1,908000,0.2971
ADELAIDE HILLS,MYLOR,2,720000,,,
ADELAIDE HILLS,NORTON SUMMIT,,,,,
ADELAIDE HILLS,PICCADILLY,,,,,
ADELAIDE HILLS,ROSTREVOR,38,840000,21,860000,0.0238
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,12,1395000,14,1200000,-0.1398
ADELAIDE HILLS,STONYFELL,8,1350000,6,1420000,0.0519
ADELAIDE HILLS,SUMMERTOWN,1,860000,,,
