City,Suburb,"Sales
2Q 2016","Median
2Q 2016","Sales
2Q 2017","Median
2Q 2017","Median
Change"
ADELAIDE,ADELAIDE,4,1027500,6,900000,-0.1241
ADELAIDE,NORTH ADELAIDE,17,1037500,6,1451000,0.3986
ADELAIDE HILLS,ALDGATE,21,710000,20,756000,0.0648
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,2,619500,
ADELAIDE HILLS,BELAIR,22,645000,19,658250,0.0205
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,18,432000,19,475000,0.0995
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,5,580000,7,770000,0.3276
ADELAIDE HILLS,CRAFERS WEST,8,642500,4,851500,0.3253
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,3,490000,,,
ADELAIDE HILLS,HEATHFIELD,5,500000,2,549250,0.0985
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,734000,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,1,640000,,,
ADELAIDE HILLS,MYLOR,6,497500,2,435000,-0.1256
ADELAIDE HILLS,NORTON SUMMIT,,,2,357500,
ADELAIDE HILLS,PICCADILLY,1,665000,,,
ADELAIDE HILLS,ROSTREVOR,36,605000,28,581500,-0.0388
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,7,755000,18,730000,-0.0331
ADELAIDE HILLS,STONYFELL,6,655000,5,1200000,0.8321
ADELAIDE HILLS,SUMMERTOWN,,,3,649000,
ADELAIDE HILLS,TERINGIE,5,660000,4,827500,0.2538
ADELAIDE HILLS,UPPER STURT,3,555000,2,521250,-0.0608
ADELAIDE HILLS,URAIDLA,2,481250,3,710000,0.4753
ADELAIDE HILLS,WATERFALL GULLY,,,2,660000,
ADELAIDE HILLS,WOODFORDE,2,569000,,,
BURNSIDE,AULDANA,5,850000,2,1555000,0.8294
BURNSIDE,BEAUMONT,18,838110,10,877500,0.047
BURNSIDE,BEULAH PARK,10,669000,4,648000,-0.0314
BURNSIDE,BURNSIDE,7,805000,10,823000,0.0224
BURNSIDE,DULWICH,5,1210000,1,1010000,-0.1653
BURNSIDE,EASTWOOD,4,590000,2,1062500,0.8008
BURNSIDE,ERINDALE,6,1250000,4,1330000,0.064
BURNSIDE,FREWVILLE,1,835000,2,726500,-0.1299
BURNSIDE,GLEN OSMOND,7,926500,12,870000,-0.061
BURNSIDE,GLENSIDE,5,856000,2,717000,-0.1624
BURNSIDE,GLENUNGA,4,879250,10,1228000,0.3966
BURNSIDE,HAZELWOOD PARK,13,1120000,8,1207000,0.0777
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,10,825500,11,1230000,0.49
BURNSIDE,KENSINGTON PARK,12,780000,7,1005000,0.2885
BURNSIDE,LEABROOK,3,1390000,4,1550000,0.1151
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,6,850000,6,873000,0.0271
BURNSIDE,MAGILL,35,598000,37,677000,0.1321
BURNSIDE,MOUNT OSMOND,2,860000,2,1145000,0.3314
BURNSIDE,ROSE PARK,3,1430000,,,
BURNSIDE,ROSSLYN PARK,8,807000,9,1055000,0.3073
BURNSIDE,SKYE,3,937500,3,935500,-0.0021
BURNSIDE,ST GEORGES,12,990000,9,982500,-0.0076
BURNSIDE,STONYFELL,6,655000,5,1200000,0.8321
BURNSIDE,TOORAK GARDENS,9,1252500,3,1420000,0.1337
BURNSIDE,TUSMORE,3,1765000,6,1420000,-0.1955
BURNSIDE,WATERFALL GULLY,,,2,660000,
BURNSIDE,WATTLE PARK,4,831000,16,805000,-0.0313
CAMPBELLTOWN,ATHELSTONE,31,496500,30,461750,-0.07
CAMPBELLTOWN,CAMPBELLTOWN,33,530000,32,535000,0.0094
CAMPBELLTOWN,HECTORVILLE,12,517000,14,581000,0.1238
CAMPBELLTOWN,MAGILL,35,598000,37,677000,0.1321
CAMPBELLTOWN,NEWTON,21,500500,17,482500,-0.036
CAMPBELLTOWN,PARADISE,20,525000,22,522500,-0.0048
CAMPBELLTOWN,ROSTREVOR,36,605000,28,581500,-0.0388
CAMPBELLTOWN,TRANMERE,12,685750,12,638000,-0.0696
CHARLES STURT,ALBERT PARK,13,455000,11,430000,-0.0549
CHARLES STURT,ALLENBY GARDENS,4,695900,5,585000,-0.1594
CHARLES STURT,ATHOL PARK,10,363500,14,382000,0.0509
CHARLES STURT,BEVERLEY,11,473000,4,505000,0.0677
CHARLES STURT,BOWDEN,1,446000,1,505000,0.1323
CHARLES STURT,BROMPTON,15,491000,13,575000,0.1711
CHARLES STURT,CHELTENHAM,4,605000,7,446000,-0.2628
CHARLES STURT,CROYDON,5,500000,,,
CHARLES STURT,DEVON PARK,3,520000,5,360000,-0.3077
CHARLES STURT,FINDON,16,478000,22,495000,0.0356
CHARLES STURT,FLINDERS PARK,23,560000,25,555000,-0.0089
CHARLES STURT,FULHAM GARDENS,17,590000,11,615000,0.0424
CHARLES STURT,GRANGE,23,670000,23,730000,0.0896
CHARLES STURT,HENDON,5,420000,5,375000,-0.1071
CHARLES STURT,HENLEY BEACH,14,799000,16,799000,0
