City,Suburb,"Sales
3Q 2014","Median
3Q 2014","Sales
3Q 2015","Median
3Q 2015","Median
Change"
ADELAIDE,ADELAIDE,5,960000,5,600000,-0.375
ADELAIDE,NORTH ADELAIDE,9,850000,6,1370000,0.6118
ADELAIDE HILLS,ALDGATE,6,550000,6,802500,0.4591
ADELAIDE HILLS,ASHTON,1,469000,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,17,565000,23,540000,-0.0442
ADELAIDE HILLS,BRADBURY,1,505000,,,
ADELAIDE HILLS,BRIDGEWATER,12,402500,16,465000,0.1553
ADELAIDE HILLS,CAREY GULLY,1,670000,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,4,642500,7,617500,-0.0389
ADELAIDE HILLS,CRAFERS WEST,1,497500,5,508650,0.0224
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,3,500000,1,496000,-0.008
ADELAIDE HILLS,HEATHFIELD,10,502000,3,593000,0.1813
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,3,410000,,,
ADELAIDE HILLS,NORTON SUMMIT,,,,,
ADELAIDE HILLS,PICCADILLY,2,467000,,,
ADELAIDE HILLS,ROSTREVOR,26,510000,27,532500,0.0441
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,10,690000,13,606000,-0.1217
ADELAIDE HILLS,STONYFELL,3,740000,1,835000,0.1284
ADELAIDE HILLS,SUMMERTOWN,2,584000,,,
ADELAIDE HILLS,TERINGIE,4,715000,1,965000,0.3497
ADELAIDE HILLS,UPPER STURT,4,407500,2,382500,-0.0613
ADELAIDE HILLS,URAIDLA,1,390000,1,525000,0.3462
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,3,550000,2,1145000,1.0818
BURNSIDE,AULDANA,1,1222000,1,1000000,-0.1817
BURNSIDE,BEAUMONT,8,905000,4,792500,-0.1243
BURNSIDE,BEULAH PARK,5,735000,6,673000,-0.0844
BURNSIDE,BURNSIDE,11,677500,14,746000,0.1011
BURNSIDE,DULWICH,3,1040000,7,1060000,0.0192
BURNSIDE,EASTWOOD,3,721000,1,800000,0.1096
BURNSIDE,ERINDALE,4,748750,2,1150000,0.5359
BURNSIDE,FREWVILLE,1,690000,,,
BURNSIDE,GLEN OSMOND,9,755000,9,750000,-0.0066
BURNSIDE,GLENSIDE,6,790000,4,690000,-0.1266
BURNSIDE,GLENUNGA,7,837500,2,999000,0.1928
BURNSIDE,HAZELWOOD PARK,7,825500,2,802500,-0.0279
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,7,946000,4,967000,0.0222
BURNSIDE,KENSINGTON PARK,8,913000,7,891000,-0.0241
BURNSIDE,LEABROOK,4,806500,6,1201000,0.4892
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,7,845000,7,920000,0.0888
BURNSIDE,MAGILL,26,536125,30,555000,0.0352
BURNSIDE,MOUNT OSMOND,,,4,750000,
BURNSIDE,ROSE PARK,1,965000,2,1755000,0.8187
BURNSIDE,ROSSLYN PARK,4,787500,4,1012000,0.2851
BURNSIDE,SKYE,2,652500,,,
BURNSIDE,ST GEORGES,6,835000,4,1087500,0.3024
BURNSIDE,STONYFELL,3,740000,1,835000,0.1284
BURNSIDE,TOORAK GARDENS,10,1027000,5,1515000,0.4752
BURNSIDE,TUSMORE,6,1150000,6,930000,-0.1913
BURNSIDE,WATERFALL GULLY,,,,,
BURNSIDE,WATTLE PARK,8,855750,10,725000,-0.1528
CAMPBELLTOWN,ATHELSTONE,21,430000,20,493000,0.1465
CAMPBELLTOWN,CAMPBELLTOWN,23,467500,36,495000,0.0588
CAMPBELLTOWN,HECTORVILLE,7,574000,12,525000,-0.0854
CAMPBELLTOWN,MAGILL,26,536125,30,555000,0.0352
CAMPBELLTOWN,NEWTON,16,432000,13,487500,0.1285
CAMPBELLTOWN,PARADISE,15,455000,16,480000,0.0549
CAMPBELLTOWN,ROSTREVOR,26,510000,27,532500,0.0441
CAMPBELLTOWN,TRANMERE,17,615000,8,625000,0.0163
CHARLES STURT,ALBERT PARK,6,393750,6,451750,0.1473
CHARLES STURT,ALLENBY GARDENS,6,534500,3,450000,-0.1581
CHARLES STURT,ATHOL PARK,7,370000,8,376000,0.0162
CHARLES STURT,BEVERLEY,6,424500,5,430000,0.013
CHARLES STURT,BOWDEN,3,575000,3,645000,0.1217
CHARLES STURT,BROMPTON,6,470000,12,545000,0.1596
CHARLES STURT,CHELTENHAM,5,495000,6,440000,-0.1111
CHARLES STURT,CROYDON,6,475000,2,445000,-0.0632
CHARLES STURT,DEVON PARK,4,449000,1,619000,0.3786
CHARLES STURT,FINDON,19,430500,21,487000,0.1312
CHARLES STURT,FLINDERS PARK,12,451750,12,509250,0.1273
CHARLES STURT,FULHAM GARDENS,10,550500,15,646000,0.1735
CHARLES STURT,GRANGE,11,672000,6,638000,-0.0506
CHARLES STURT,HENDON,,,3,371000,
CHARLES STURT,HENLEY BEACH,11,720000,9,737000,0.0236
CHARLES STURT,HENLEY BEACH SOUTH,9,850000,7,942500,0.1088
CHARLES STURT,HINDMARSH,,,,,
CHARLES STURT,KIDMAN PARK,6,500000,12,575000,0.15
CHARLES STURT,KILKENNY,6,408000,5,411000,0.0074
CHARLES STURT,OVINGHAM,,,2,553000,
CHARLES STURT,PENNINGTON,9,385300,10,396000,0.0278
CHARLES STURT,RENOWN PARK,4,420000,4,500000,0.1905
CHARLES STURT,RIDLEYTON,13,445250,1,427500,-0.0399
CHARLES STURT,ROSEWATER,11,305000,8,340000,0.1148
CHARLES STURT,ROYAL PARK,5,396000,8,300500,-0.2412
CHARLES STURT,SEATON,35,428000,25,460000,0.0748
CHARLES STURT,SEMAPHORE PARK,5,510000,1,490000,-0.0392
CHARLES STURT,ST CLAIR,,,5,690000,
CHARLES STURT,TENNYSON,4,1070000,3,475000,-0.5561
CHARLES STURT,WELLAND,4,456500,,,
CHARLES STURT,WEST BEACH,15,639250,8,728000,0.1388
CHARLES STURT,WEST CROYDON,20,500500,9,522500,0.044
CHARLES STURT,WEST HINDMARSH,4,450000,1,570000,0.2667
CHARLES STURT,WEST LAKES,14,735000,17,708000,-0.0367
CHARLES STURT,WEST LAKES SHORE,8,558000,8,529000,-0.052
CHARLES STURT,WOODVILLE,2,840000,3,505000,-0.3988
CHARLES STURT,WOODVILLE NORTH,6,335000,8,380000,0.1343
CHARLES STURT,WOODVILLE PARK,5,555000,4,656000,0.182
CHARLES STURT,WOODVILLE SOUTH,12,460000,10,470000,0.0217
CHARLES STURT,WOODVILLE WEST,13,521500,7,451000,-0.1352
GAWLER,BIBARINGA,,,,,
GAWLER,EVANSTON,8,272000,8,260000,-0.0441
GAWLER,EVANSTON GARDENS,3,310000,11,317450,0.024
GAWLER,EVANSTON PARK,16,310000,18,377500,0.2177
GAWLER,EVANSTON SOUTH,1,412500,,,
GAWLER,GAWLER,4,240000,1,384500,0.6021
GAWLER,GAWLER EAST,18,330000,25,343500,0.0409
GAWLER,GAWLER SOUTH,18,380000,6,280000,-0.2632
GAWLER,GAWLER WEST,3,340000,2,302500,-0.1103
GAWLER,HILLIER,,,,,
GAWLER,KUDLA,,,,,
GAWLER,REID,1,410000,3,443750,0.0823
GAWLER,ULEYBURY,,,,,
GAWLER,WILLASTON,16,342500,13,309500,-0.0964
HOLDFAST BAY,BRIGHTON,17,582500,11,647000,0.1107
HOLDFAST BAY,GLENELG,1,1200000,1,920000,-0.2333
HOLDFAST BAY,GLENELG EAST,11,735000,7,775000,0.0544
HOLDFAST BAY,GLENELG NORTH,14,535000,19,622500,0.1636
HOLDFAST BAY,GLENELG SOUTH,6,902500,,,
HOLDFAST BAY,HOVE,8,593750,12,662550,0.1159
HOLDFAST BAY,KINGSTON PARK,3,767500,3,686000,-0.1062
HOLDFAST BAY,NORTH BRIGHTON,5,540000,7,590000,0.0926
HOLDFAST BAY,SEACLIFF,8,702500,4,673500,-0.0413
HOLDFAST BAY,SEACLIFF PARK,10,570000,4,462500,-0.1886
HOLDFAST BAY,SOMERTON PARK,19,650000,16,590500,-0.0915
HOLDFAST BAY,SOUTH BRIGHTON,9,625000,4,589000,-0.0576
MARION,ASCOT PARK,13,425350,9,412000,-0.0314
MARION,BEDFORD PARK,8,425500,5,508000,0.1939
MARION,CLOVELLY PARK,4,421000,12,442250,0.0505
MARION,DARLINGTON,2,468250,1,520000,0.1105
MARION,DOVER GARDENS,16,444519,10,485500,0.0922
MARION,EDWARDSTOWN,12,426000,9,465000,0.0915
MARION,GLANDORE,10,502500,7,489000,-0.0269
MARION,GLENGOWRIE,15,611000,14,565000,-0.0753
MARION,HALLETT COVE,49,433500,38,465000,0.0727
MARION,LONSDALE,,,,,
MARION,MARINO,13,560000,8,685000,0.2232
MARION,MARION,13,455000,10,460000,0.011
MARION,MITCHELL PARK,11,420000,8,455000,0.0833
MARION,MORPHETTVILLE,7,515000,6,457500,-0.1117
MARION,OAKLANDS PARK,14,420000,9,490000,0.1667
MARION,O'HALLORAN HILL,13,375100,8,388500,0.0357
MARION,PARK HOLME,10,472500,7,460000,-0.0265
MARION,PLYMPTON PARK,19,455340,16,536000,0.1771
MARION,SEACLIFF PARK,10,570000,4,462500,-0.1886
MARION,SEACOMBE GARDENS,16,420000,10,439000,0.0452
MARION,SEACOMBE HEIGHTS,8,440000,4,489250,0.1119
MARION,SEAVIEW DOWNS,16,450000,7,459000,0.02
MARION,SHEIDOW PARK,20,420000,26,420000,0
MARION,SOUTH PLYMPTON,18,425000,15,515000,0.2118
MARION,STURT,15,413000,7,435000,0.0533
MARION,TROTT PARK,20,353000,5,352000,-0.0028
MARION,WARRADALE,26,530000,18,530000,0
MITCHAM,BEDFORD PARK,8,425500,5,508000,0.1939
MITCHAM,BELAIR,17,565000,23,540000,-0.0442
MITCHAM,BELLEVUE HEIGHTS,9,473500,6,486000,0.0264
MITCHAM,BLACKWOOD,15,480000,16,510000,0.0625
MITCHAM,BROWN HILL CREEK,,,,,
MITCHAM,CLAPHAM,6,547750,8,546500,-0.0023
MITCHAM,CLARENCE GARDENS,7,587000,2,505000,-0.1397
MITCHAM,COLONEL LIGHT GARDENS,9,592000,6,632500,0.0684
