City,Suburb,"Sales
2Q 2014","Median
2Q 2014","Sales
2Q 2015","Median
2Q 2015","Median
Change"
ADELAIDE,ADELAIDE,7,642500,9,785000,0.222
ADELAIDE,NORTH ADELAIDE,17,1250000,5,1189000,-0.049
ADELAIDE HILLS,ALDGATE,16,680000,9,685000,0.007
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,1,370000,
ADELAIDE HILLS,BELAIR,18,532500,12,550500,0.034
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,11,485000,14,415000,-0.144
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,547500,4,608000,0.111
ADELAIDE HILLS,CRAFERS WEST,5,640000,2,554500,-0.134
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,593000,4,492500,-0.169
ADELAIDE HILLS,HEATHFIELD,5,525000,2,675000,0.286
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,419000,,,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,3,361000,1,380000,0.053
ADELAIDE HILLS,NORTON SUMMIT,1,500000,,,
ADELAIDE HILLS,PICCADILLY,1,520000,,,
ADELAIDE HILLS,ROSTREVOR,28,444250,17,525000,0.182
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,15,585000,8,727742.5,0.244
ADELAIDE HILLS,STONYFELL,6,960000,3,844500,-0.12
ADELAIDE HILLS,SUMMERTOWN,3,728000,2,517500,-0.289
ADELAIDE HILLS,TERINGIE,1,520000,2,588750,0.132
ADELAIDE HILLS,UPPER STURT,5,545000,2,423750,-0.222
ADELAIDE HILLS,URAIDLA,3,380000,4,605500,0.593
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,5,610000,1,560000,-0.082
BURNSIDE,AULDANA,3,945000,1,820000,-0.132
BURNSIDE,BEAUMONT,11,757000,11,865000,0.143
BURNSIDE,BEULAH PARK,4,669000,3,577500,-0.137
BURNSIDE,BURNSIDE,9,788000,4,970000,0.231
BURNSIDE,DULWICH,8,861500,2,960000,0.114
BURNSIDE,EASTWOOD,2,565000,1,420000,-0.257
BURNSIDE,ERINDALE,6,1050000,1,1031000,-0.018
BURNSIDE,FREWVILLE,2,540000,,,
BURNSIDE,GLEN OSMOND,6,775000,8,755500,-0.025
BURNSIDE,GLENSIDE,8,689500,5,865000,0.255
BURNSIDE,GLENUNGA,10,1350000,3,872888,-0.353
BURNSIDE,HAZELWOOD PARK,12,740000,5,980000,0.324
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,5,906000,7,671250,-0.259
BURNSIDE,KENSINGTON PARK,12,809000,7,900000,0.112
BURNSIDE,LEABROOK,5,1377000,,,
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,6,889500,2,850000,-0.044
BURNSIDE,MAGILL,41,533275,29,593600,0.113
BURNSIDE,MOUNT OSMOND,,,1,495000,
BURNSIDE,ROSE PARK,7,1040000,4,1490000,0.433
BURNSIDE,ROSSLYN PARK,9,740000,7,927500,0.253
BURNSIDE,SKYE,1,520000,2,615000,0.183
BURNSIDE,ST GEORGES,7,970000,3,900000,-0.072
BURNSIDE,STONYFELL,6,960000,3,844500,-0.12
BURNSIDE,TOORAK GARDENS,6,1370000,8,1600000,0.168
BURNSIDE,TUSMORE,3,1100000,3,1215000,0.105
BURNSIDE,WATERFALL GULLY,,,,,
BURNSIDE,WATTLE PARK,6,720000,9,805000,0.118
CAMPBELLTOWN,ATHELSTONE,32,483000,20,485000,0.004
CAMPBELLTOWN,CAMPBELLTOWN,24,440000,29,510000,0.159
CAMPBELLTOWN,HECTORVILLE,10,474000,3,485000,0.023
CAMPBELLTOWN,MAGILL,41,533275,29,593600,0.113
CAMPBELLTOWN,NEWTON,11,477500,17,497500,0.042
CAMPBELLTOWN,PARADISE,19,475000,13,485000,0.021
CAMPBELLTOWN,ROSTREVOR,28,444250,17,525000,0.182
