City,Suburb,"Sales
1Q 2014","Median
1Q 2014","Sales
1Q 2015","Median
1Q 2015","Median
Change"
CAMPBELLTOWN        ,CAMPBELLTOWN         ,21,465000,26,460000,-0.0108
CAMPBELLTOWN        ,HECTORVILLE          ,11,457500,11,522500,0.1421
CAMPBELLTOWN        ,MAGILL               ,37,625000,25,590000,-0.056
CAMPBELLTOWN        ,NEWTON               ,10,452500,14,463500,0.0243
CAMPBELLTOWN        ,PARADISE             ,20,405750,18,460000,0.1337
CAMPBELLTOWN        ,ROSTREVOR            ,28,512500,15,486000,-0.0517
CAMPBELLTOWN        ,TRANMERE             ,12,550000,16,595000,0.0818
CHARLES STURT       ,ALBERT PARK          ,10,435000,8,415500,-0.0448
CHARLES STURT       ,ALLENBY GARDENS      ,11,476500,4,617750,0.2964
CHARLES STURT       ,ATHOL PARK           ,5,360000,1,355000,-0.0139
CHARLES STURT       ,BEVERLEY             ,3,310000,8,405000,0.3065
CHARLES STURT       ,BOWDEN               ,3,160000,2,295833,0.849
CHARLES STURT       ,BROMPTON             ,5,487125,14,452500,-0.0711
CHARLES STURT       ,CHELTENHAM           ,7,422000,10,605000,0.4336
CHARLES STURT       ,CROYDON              ,2,558000,2,275500,-0.5063
CHARLES STURT       ,DEVON PARK           ,2,475000,2,460000,-0.0316
CHARLES STURT       ,FINDON               ,11,456000,9,475000,0.0417
CHARLES STURT       ,FLINDERS PARK        ,18,482500,10,485000,0.0052
CHARLES STURT       ,FULHAM GARDENS       ,11,564000,16,600000,0.0638
CHARLES STURT       ,GRANGE               ,14,568500,18,605500,0.0651
CHARLES STURT       ,HENDON               ,8,387500,10,410750,0.06
CHARLES STURT       ,HENLEY BEACH         ,14,670000,10,672750,0.0041
CHARLES STURT       ,HENLEY BEACH SOUTH   ,5,760000,5,971250,0.278
CHARLES STURT       ,HINDMARSH            ,1,320000,,,
CHARLES STURT       ,KIDMAN PARK          ,9,481500,7,575000,0.1942
CHARLES STURT       ,KILKENNY             ,2,322250,1,385000,0.1947
CHARLES STURT       ,OVINGHAM             ,2,502500,3,470000,-0.0647
CHARLES STURT       ,PENNINGTON           ,9,330000,6,395000,0.197
CHARLES STURT       ,RENOWN PARK          ,5,410000,1,385000,-0.061
CHARLES STURT       ,RIDLEYTON            ,6,452500,8,495000,0.0939
CHARLES STURT       ,ROYAL PARK           ,10,366000,13,370000,0.0109
CHARLES STURT       ,SEATON               ,34,420000,32,435000,0.0357
CHARLES STURT       ,SEMAPHORE PARK       ,7,475375,6,462500,-0.0271
CHARLES STURT       ,ST.CLAIR             ,6,628500,5,546000,-0.1313
CHARLES STURT       ,TENNYSON             ,2,1380000,1,2150000,0.558
CHARLES STURT       ,WELLAND              ,2,500000,1,445000,-0.11
CHARLES STURT       ,WEST BEACH           ,15,680000,19,770000,0.1324
CHARLES STURT       ,WEST CROYDON         ,10,451000,13,495000,0.0976
CHARLES STURT       ,WEST HINDMARSH       ,3,450000,2,498250,0.1072
CHARLES STURT       ,WEST LAKES           ,8,584750,18,776500,0.3279
CHARLES STURT       ,WEST LAKES SHORE     ,7,550000,8,600000,0.0909
CHARLES STURT       ,WOODVILLE            ,3,631000,1,538000,-0.1474
CHARLES STURT       ,WOODVILLE NORTH      ,6,330000,7,335000,0.0152
CHARLES STURT       ,WOODVILLE PARK       ,7,480000,5,531500,0.1073
CHARLES STURT       ,WOODVILLE SOUTH      ,15,417000,7,485000,0.1631
CHARLES STURT       ,WOODVILLE WEST       ,8,413500,8,454000,0.0979
GAWLER              ,BIBARINGA            ,,,,,
GAWLER              ,EVANSTON             ,9,283000,5,310000,0.0954
