City,Suburb,"Sales
3Q 2019","Median
3Q 2019","Sales
3Q 2020","Median
3Q 2020","Median
Change"
ADELAIDE,ADELAIDE,4,838500,3,671000,-0.1998
ADELAIDE,NORTH ADELAIDE,12,1165000,8,1025000,-0.1202
ADELAIDE HILLS,ALDGATE,10,697500,11,730000,0.0466
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,18,629000,16,665000,0.0572
ADELAIDE HILLS,BRADBURY,,,1,412000,
ADELAIDE HILLS,BRIDGEWATER,21,510125,17,525000,0.0292
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,4,641000,3,602000,-0.0608
ADELAIDE HILLS,CRAFERS WEST,2,805000,4,947500,0.177
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,561500,1,600000,0.0686
ADELAIDE HILLS,HEATHFIELD,2,625000,,,
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,1,937000,
ADELAIDE HILLS,LONGWOOD,2,660000,1,570000,-0.1364
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,,,,,
ADELAIDE HILLS,NORTON SUMMIT,1,504000,2,706000,0.4008
ADELAIDE HILLS,PICCADILLY,1,440000,,,
ADELAIDE HILLS,ROSTREVOR,25,620000,24,662500,0.0685
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,10,800000,14,857500,0.0719
ADELAIDE HILLS,STONYFELL,2,1200000,3,925000,-0.2292
ADELAIDE HILLS,SUMMERTOWN,2,530000,3,600000,0.1321
ADELAIDE HILLS,TERINGIE,2,669500,,,
ADELAIDE HILLS,UPPER STURT,2,603000,3,790000,0.3101
ADELAIDE HILLS,URAIDLA,2,621508,5,537000,-0.136
ADELAIDE HILLS,WATERFALL GULLY,,,2,953500,
ADELAIDE HILLS,WOODFORDE,2,589500,2,737500,0.2511
BURNSIDE,AULDANA,1,975000,3,1060000,0.0872
BURNSIDE,BEAUMONT,7,1076500,8,917500,-0.1477
BURNSIDE,BEULAH PARK,9,690000,5,790000,0.1449
BURNSIDE,BURNSIDE,12,1005000,8,825000,-0.1791
BURNSIDE,DULWICH,6,1170000,4,980000,-0.1624
BURNSIDE,EASTWOOD,,,,,
BURNSIDE,ERINDALE,2,1085000,4,1529000,0.4092
BURNSIDE,FREWVILLE,1,1260000,,,
BURNSIDE,GLEN OSMOND,4,1084000,8,948000,-0.1255
BURNSIDE,GLENSIDE,5,1000000,5,937500,-0.0625
BURNSIDE,GLENUNGA,3,1150000,3,1145000,-0.0043
BURNSIDE,HAZELWOOD PARK,2,942500,8,831250,-0.118
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,5,940000,8,1065500,0.1335
BURNSIDE,KENSINGTON PARK,7,817500,7,1080000,0.3211
BURNSIDE,LEABROOK,2,1347500,6,1020000,-0.243
BURNSIDE,LEAWOOD GARDENS,,,,,
