City,Suburb,"Sales
3Q 2015","Median
3Q 2015","Sales
3Q 2016","Median
3Q 2016","Median
Change"
ADELAIDE,ADELAIDE,7,675500,6,747500,0.1066
ADELAIDE,NORTH ADELAIDE,7,1730000,6,932000,-0.4613
ADELAIDE HILLS,ALDGATE,10,725000,13,665000,-0.0828
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,27,562500,8,605000,0.0756
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,20,465000,16,536250,0.1532
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,10,597500,9,675000,0.1297
ADELAIDE HILLS,CRAFERS WEST,5,508650,5,599000,0.1776
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,1,496000,4,671000,0.3528
ADELAIDE HILLS,HEATHFIELD,3,910000,3,675000,-0.2582
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,1,446000,1,565000,0.2668
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,,,1,665000,
ADELAIDE HILLS,NORTON SUMMIT,1,490000,,,
ADELAIDE HILLS,PICCADILLY,,,1,460000,
ADELAIDE HILLS,ROSTREVOR,31,545000,22,563000,0.033
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,16,665000,6,645000,-0.0301
ADELAIDE HILLS,STONYFELL,3,835000,4,790000,-0.0539
ADELAIDE HILLS,SUMMERTOWN,,,3,590000,
ADELAIDE HILLS,TERINGIE,1,965000,2,974750,0.0101
ADELAIDE HILLS,UPPER STURT,3,450000,1,450000,0
ADELAIDE HILLS,URAIDLA,2,472000,1,565000,0.197
ADELAIDE HILLS,WATERFALL GULLY,1,839000,,,
ADELAIDE HILLS,WOODFORDE,2,1145000,1,485000,-0.5764
BURNSIDE,AULDANA,3,1000000,5,937500,-0.0625
BURNSIDE,BEAUMONT,8,855000,8,880000,0.0292
BURNSIDE,BEULAH PARK,8,700000,3,740000,0.0571
BURNSIDE,BURNSIDE,14,750000,11,890000,0.1867
BURNSIDE,DULWICH,9,1210000,1,1300000,0.0744
BURNSIDE,EASTWOOD,1,800000,2,520000,-0.35
BURNSIDE,ERINDALE,3,1150000,2,1024000,-0.1096
BURNSIDE,FREWVILLE,1,635000,2,890500,0.4024
BURNSIDE,GLEN OSMOND,9,750000,10,880000,0.1733
BURNSIDE,GLENSIDE,5,761000,4,1004000,0.3193
BURNSIDE,GLENUNGA,3,780000,8,941500,0.2071
BURNSIDE,HAZELWOOD PARK,4,875000,6,780000,-0.1086
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,4,967000,6,880000,-0.09
BURNSIDE,KENSINGTON PARK,9,862000,7,863000,0.0012
BURNSIDE,LEABROOK,6,1201000,3,1250000,0.0408
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,9,965115,4,775000,-0.197
BURNSIDE,MAGILL,40,555000,34,647750,0.1671
BURNSIDE,MOUNT OSMOND,4,750000,1,800000,0.0667
BURNSIDE,ROSE PARK,2,1755000,7,1382500,-0.2123
BURNSIDE,ROSSLYN PARK,6,843000,5,877500,0.0409
BURNSIDE,SKYE,,,1,715000,
BURNSIDE,ST GEORGES,4,1040000,2,816500,-0.2149
BURNSIDE,STONYFELL,3,835000,4,790000,-0.0539
BURNSIDE,TOORAK GARDENS,8,1580000,5,917500,-0.4193
BURNSIDE,TUSMORE,6,911500,1,700000,-0.232
BURNSIDE,WATERFALL GULLY,1,839000,,,
BURNSIDE,WATTLE PARK,13,770000,9,722000,-0.0623
CAMPBELLTOWN,ATHELSTONE,27,485000,25,490000,0.0103
CAMPBELLTOWN,CAMPBELLTOWN,38,495000,31,521000,0.0525
CAMPBELLTOWN,HECTORVILLE,20,522500,11,570000,0.0909
CAMPBELLTOWN,MAGILL,40,555000,34,647750,0.1671
CAMPBELLTOWN,NEWTON,16,508000,14,532500,0.0482
