City,2015 Sales,2015 Median Price
ADELAIDE HILLS,ROSTREVOR,22.333333333333332,532500.0
ADELAIDE HILLS,STIRLING,9.666666666666666,700000.0
ADELAIDE HILLS,STONYFELL,2.6666666666666665,844500.0
ADELAIDE HILLS,SUMMERTOWN,0.6666666666666666,0.0
ADELAIDE HILLS,TERINGIE,1.0,588750.0
ADELAIDE HILLS,UPPER STURT,2.0,423750.0
ADELAIDE HILLS,URAIDLA,2.0,525000.0
ADELAIDE HILLS,WOODFORDE,1.6666666666666667,788500.0
BURNSIDE,AULDANA,1.0,828888.0
BURNSIDE,BEAUMONT,9.0,865000.0
BURNSIDE,BEULAH PARK,4.666666666666667,673000.0
BURNSIDE,BURNSIDE,9.333333333333334,800000.0
BURNSIDE,DULWICH,4.666666666666667,1060000.0
BURNSIDE,EASTWOOD,0.6666666666666666,420000.0
BURNSIDE,ERINDALE,2.0,1031000.0
BURNSIDE,FREWVILLE,0.6666666666666666,0.0
BURNSIDE,GLEN OSMOND,8.333333333333334,755500.0
BURNSIDE,GLENSIDE,3.6666666666666665,750000.0
BURNSIDE,GLENUNGA,1.6666666666666667,872888.0
BURNSIDE,HAZELWOOD PARK,3.6666666666666665,971500.0
BURNSIDE,KENSINGTON GARDENS,5.0,671250.0
BURNSIDE,KENSINGTON PARK,5.333333333333333,891000.0
BURNSIDE,LEABROOK,2.0,0.0
BURNSIDE,LINDEN PARK,5.333333333333333,920000.0
BURNSIDE,MAGILL,27.0,580000.0
BURNSIDE,MOUNT OSMOND,2.3333333333333335,750000.0
BURNSIDE,ROSE PARK,3.0,1490000.0
BURNSIDE,ROSSLYN PARK,5.0,927500.0
BURNSIDE,SKYE,0.6666666666666666,0.0
BURNSIDE,ST GEORGES,3.0,1087500.0
BURNSIDE,STONYFELL,2.6666666666666665,844500.0
BURNSIDE,TOORAK GARDENS,5.0,1515000.0
BURNSIDE,TUSMORE,3.6666666666666665,1023250.0
BURNSIDE,WATTLE PARK,8.666666666666666,805000.0
CAMPBELLTOWN,ATHELSTONE,18.666666666666668,485000.0
CAMPBELLTOWN,CAMPBELLTOWN,31.0,500000.0
CAMPBELLTOWN,HECTORVILLE,11.0,487500.0
CAMPBELLTOWN,MAGILL,27.0,580000.0
CAMPBELLTOWN,NEWTON,14.0,497500.0
CAMPBELLTOWN,PARADISE,14.666666666666666,485000.0
CAMPBELLTOWN,ROSTREVOR,22.333333333333332,532500.0
CAMPBELLTOWN,TRANMERE,10.333333333333334,625000.0
CHARLES STURT,ALBERT PARK,6.666666666666667,400000.0
CHARLES STURT,ALLENBY GARDENS,2.6666666666666665,490250.0
CHARLES STURT,ATHOL PARK,4.333333333333333,376000.0
CHARLES STURT,BEVERLEY,5.0,489000.0
CHARLES STURT,BOWDEN,1.0,0.0
CHARLES STURT,BROMPTON,7.0,525000.0
CHARLES STURT,CHELTENHAM,3.3333333333333335,440000.0
CHARLES STURT,CROYDON,2.0,470000.0
CHARLES STURT,DEVON PARK,1.6666666666666667,482000.0
CHARLES STURT,FINDON,16.666666666666668,487000.0
CHARLES STURT,FLINDERS PARK,13.0,545000.0
CHARLES STURT,FULHAM GARDENS,17.0,600000.0
CHARLES STURT,GRANGE,9.0,638000.0
CHARLES STURT,HENDON,3.0,371000.0
CHARLES STURT,HENLEY BEACH,10.666666666666666,737000.0
CHARLES STURT,HENLEY BEACH SOUTH,6.0,942500.0
CHARLES STURT,KIDMAN PARK,7.0,575000.0
CHARLES STURT,KILKENNY,2.3333333333333335,450000.0
CHARLES STURT,OVINGHAM,1.6666666666666667,553000.0
CHARLES STURT,PENNINGTON,6.333333333333333,376000.0
CHARLES STURT,RENOWN PARK,3.6666666666666665,476750.0
CHARLES STURT,RIDLEYTON,4.0,428000.0
CHARLES STURT,ROSEWATER,9.333333333333334,365000.0
CHARLES STURT,ROYAL PARK,9.333333333333334,348000.0
CHARLES STURT,SEATON,20.333333333333332,460000.0
CHARLES STURT,SEMAPHORE PARK,7.0,501249.5
CHARLES STURT,ST CLAIR,3.6666666666666665,645000.0
CHARLES STURT,TENNYSON,3.6666666666666665,1027000.0
CHARLES STURT,WEST BEACH,9.0,633500.0
CHARLES STURT,WEST CROYDON,10.0,522500.0
CHARLES STURT,WEST HINDMARSH,0.6666666666666666,480000.0
CHARLES STURT,WEST LAKES,12.0,708000.0
CHARLES STURT,WEST LAKES SHORE,5.333333333333333,529000.0
CHARLES STURT,WOODVILLE,2.3333333333333335,517500.0
CHARLES STURT,WOODVILLE NORTH,6.0,380000.0
CHARLES STURT,WOODVILLE PARK,4.333333333333333,580000.0
CHARLES STURT,WOODVILLE SOUTH,11.666666666666666,470000.0
CHARLES STURT,WOODVILLE WEST,7.666666666666667,462500.0
GAWLER,EVANSTON,6.666666666666667,272500.0
GAWLER,EVANSTON GARDENS,6.0,300000.0
GAWLER,EVANSTON PARK,18.333333333333332,375000.0
GAWLER,EVANSTON SOUTH,0.3333333333333333,0.0
GAWLER,GAWLER,1.6666666666666667,384500.0
GAWLER,GAWLER EAST,18.0,315000.0
GAWLER,GAWLER SOUTH,9.333333333333334,280000.0
GAWLER,GAWLER WEST,1.0,155000.0
GAWLER,REID,1.0,0.0
GAWLER,WILLASTON,14.0,309500.0
HOLDFAST BAY,BRIGHTON,11.666666666666666,677500.0
HOLDFAST BAY,GLENELG,1.0,920000.0
HOLDFAST BAY,GLENELG EAST,6.333333333333333,775000.0
HOLDFAST BAY,GLENELG NORTH,13.666666666666666,570000.0
HOLDFAST BAY,GLENELG SOUTH,0.6666666666666666,0.0
HOLDFAST BAY,HOVE,8.666666666666666,662550.0
HOLDFAST BAY,KINGSTON PARK,1.0,0.0
HOLDFAST BAY,NORTH BRIGHTON,5.0,760000.0
HOLDFAST BAY,SEACLIFF,3.6666666666666665,673500.0
HOLDFAST BAY,SEACLIFF PARK,7.0,475000.0
HOLDFAST BAY,SOMERTON PARK,14.666666666666666,785000.0
HOLDFAST BAY,SOUTH BRIGHTON,7.0,567000.0
MARION,ASCOT PARK,9.0,429000.0
MARION,BEDFORD PARK,4.666666666666667,487500.0
MARION,CLOVELLY PARK,9.333333333333334,442250.0
MARION,DARLINGTON,0.3333333333333333,0.0
MARION,DOVER GARDENS,11.666666666666666,455000.0
MARION,EDWARDSTOWN,10.0,445000.0
MARION,GLANDORE,6.666666666666667,615000.0
MARION,GLENGOWRIE,11.333333333333334,586375.0
MARION,HALLETT COVE,30.0,440500.0
MARION,MARINO,8.0,685000.0
MARION,MARION,10.666666666666666,468000.0
MARION,MITCHELL PARK,12.333333333333334,435000.0
MARION,MORPHETTVILLE,7.0,475000.0
MARION,OAKLANDS PARK,7.0,490000.0
MARION,O'HALLORAN HILL,7.333333333333333,380000.0
MARION,PARK HOLME,7.666666666666667,460000.0
MARION,PLYMPTON PARK,10.666666666666666,536000.0
MARION,SEACLIFF PARK,7.0,475000.0
MARION,SEACOMBE GARDENS,9.666666666666666,439000.0
MARION,SEACOMBE HEIGHTS,3.3333333333333335,403750.0
MARION,SEAVIEW DOWNS,6.333333333333333,470500.0
MARION,SHEIDOW PARK,23.0,388500.0
MARION,SOUTH PLYMPTON,9.666666666666666,515000.0
MARION,STURT,7.666666666666667,435000.0
MARION,TROTT PARK,6.333333333333333,341750.0
MARION,WARRADALE,15.333333333333334,565500.0
MITCHAM,BEDFORD PARK,4.666666666666667,487500.0
MITCHAM,BELAIR,17.0,550000.0
MITCHAM,BELLEVUE HEIGHTS,5.666666666666667,521300.0
MITCHAM,BLACKWOOD,11.0,510000.0
MITCHAM,BROWN HILL CREEK,0.3333333333333333,0.0
MITCHAM,CLAPHAM,5.666666666666667,542500.0
MITCHAM,CLARENCE GARDENS,4.666666666666667,557000.0
MITCHAM,COLONEL LIGHT GARDENS,7.666666666666667,730000.0
MITCHAM,COROMANDEL VALLEY,10.0,498500.0
MITCHAM,CRAFERS WEST,4.333333333333333,537500.0
MITCHAM,CRAIGBURN FARM,7.333333333333333,630000.0
MITCHAM,CUMBERLAND PARK,4.0,661750.0
MITCHAM,DAW PARK,5.333333333333333,470000.0
MITCHAM,EDEN HILLS,6.666666666666667,535000.0
MITCHAM,GLENALTA,4.666666666666667,490000.0
MITCHAM,HAWTHORN,5.333333333333333,875000.0
MITCHAM,HAWTHORNDENE,9.333333333333334,465750.0
MITCHAM,KINGSWOOD,4.0,880000.0
MITCHAM,LOWER MITCHAM,7.666666666666667,625500.0
MITCHAM,LYNTON,0.6666666666666666,460000.0
MITCHAM,MELROSE PARK,10.666666666666666,490000.0
MITCHAM,MITCHAM,5.0,799000.0
MITCHAM,NETHERBY,2.0,906000.0
MITCHAM,PANORAMA,9.0,629500.0
MITCHAM,PASADENA,6.333333333333333,440000.0
MITCHAM,SPRINGFIELD,1.3333333333333333,1225000.0
MITCHAM,ST MARYS,7.0,438400.0
MITCHAM,TORRENS PARK,7.333333333333333,790500.0
MITCHAM,UPPER STURT,2.0,423750.0
MITCHAM,URRBRAE,5.0,760000.0
MITCHAM,WESTBOURNE PARK,6.666666666666667,810000.0
MOUNT BARKER,BRIDGEWATER,14.0,415000.0
MOUNT BARKER,MYLOR,1.0,380000.0
NORWOOD PAYNEHAM & ST PETERS,COLLEGE PARK,2.6666666666666665,2400000.0
NORWOOD PAYNEHAM & ST PETERS,EVANDALE,2.0,647500.0
NORWOOD PAYNEHAM & ST PETERS,FELIXSTOW,3.0,565750.0
NORWOOD PAYNEHAM & ST PETERS,FIRLE,4.666666666666667,635000.0
NORWOOD PAYNEHAM & ST PETERS,GLYNDE,4.333333333333333,603000.0
NORWOOD PAYNEHAM & ST PETERS,HACKNEY,0.3333333333333333,0.0
NORWOOD PAYNEHAM & ST PETERS,HEATHPOOL,0.3333333333333333,0.0
NORWOOD PAYNEHAM & ST PETERS,JOSLIN,3.6666666666666665,1106500.0
NORWOOD PAYNEHAM & ST PETERS,KENSINGTON,0.6666666666666666,550000.0
NORWOOD PAYNEHAM & ST PETERS,KENT TOWN,0.6666666666666666,971500.0
NORWOOD PAYNEHAM & ST PETERS,MARDEN,9.333333333333334,575000.0
NORWOOD PAYNEHAM & ST PETERS,MARRYATVILLE,0.3333333333333333,0.0
NORWOOD PAYNEHAM & ST PETERS,MAYLANDS,1.0,873000.0
NORWOOD PAYNEHAM & ST PETERS,NORWOOD,9.0,830000.0
NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM,5.0,553000.0
NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM SOUTH,5.0,655000.0
NORWOOD PAYNEHAM & ST PETERS,ROYSTON PARK,3.3333333333333335,810000.0
NORWOOD PAYNEHAM & ST PETERS,ST MORRIS,2.0,614000.0
NORWOOD PAYNEHAM & ST PETERS,ST PETERS,9.333333333333334,1327500.0
NORWOOD PAYNEHAM & ST PETERS,STEPNEY,3.3333333333333335,667000.0
NORWOOD PAYNEHAM & ST PETERS,TRINITY GARDENS,1.3333333333333333,711000.0
ONKAPARINGA,ABERFOYLE PARK,32.0,435000.0
ONKAPARINGA,ALDINGA,1.0,0.0
ONKAPARINGA,ALDINGA BEACH,39.333333333333336,336000.0
ONKAPARINGA,CHANDLERS HILL,1.6666666666666667,585000.0
ONKAPARINGA,CHRISTIE DOWNS,12.666666666666666,257500.0
ONKAPARINGA,CHRISTIES BEACH,19.666666666666668,349000.0
ONKAPARINGA,CLARENDON,1.0,320000.0
ONKAPARINGA,COROMANDEL VALLEY,10.0,498500.0
ONKAPARINGA,CRAIGBURN FARM,7.333333333333333,630000.0
ONKAPARINGA,DARLINGTON,0.3333333333333333,0.0
ONKAPARINGA,FLAGSTAFF HILL,38.333333333333336,485000.0
ONKAPARINGA,HACKHAM,12.666666666666666,281500.0
ONKAPARINGA,HACKHAM WEST,15.0,251000.0
ONKAPARINGA,HALLETT COVE,30.0,440500.0
ONKAPARINGA,HAPPY VALLEY,33.333333333333336,377500.0
ONKAPARINGA,HUNTFIELD HEIGHTS,12.333333333333334,256750.0
ONKAPARINGA,IRONBANK,0.3333333333333333,0.0
ONKAPARINGA,MASLIN BEACH,2.0,343750.0
ONKAPARINGA,MCLAREN FLAT,2.6666666666666665,442000.0
ONKAPARINGA,MCLAREN VALE,4.666666666666667,391000.0
ONKAPARINGA,MOANA,8.666666666666666,479250.0
ONKAPARINGA,MORPHETT VALE,75.33333333333333,301000.0
ONKAPARINGA,NOARLUNGA CENTRE,0.3333333333333333,0.0
ONKAPARINGA,NOARLUNGA DOWNS,14.666666666666666,320125.0
ONKAPARINGA,O'HALLORAN HILL,7.333333333333333,380000.0
ONKAPARINGA,OLD NOARLUNGA,3.3333333333333335,356000.0
ONKAPARINGA,OLD REYNELLA,11.333333333333334,393000.0
ONKAPARINGA,ONKAPARINGA HILLS,4.666666666666667,407000.0
ONKAPARINGA,O'SULLIVAN BEACH,7.333333333333333,276000.0
ONKAPARINGA,PORT NOARLUNGA,8.0,384500.0
ONKAPARINGA,PORT NOARLUNGA SOUTH,9.0,395000.0
ONKAPARINGA,PORT WILLUNGA,5.666666666666667,348000.0
ONKAPARINGA,REYNELLA,12.666666666666666,315000.0
ONKAPARINGA,REYNELLA EAST,6.666666666666667,327000.0
ONKAPARINGA,SEAFORD,14.0,350000.0
ONKAPARINGA,SEAFORD MEADOWS,17.0,387500.0
ONKAPARINGA,SEAFORD RISE,19.666666666666668,377500.0
ONKAPARINGA,SELLICKS BEACH,11.333333333333334,332500.0
ONKAPARINGA,VALE PARK,7.666666666666667,615000.0
ONKAPARINGA,WILLUNGA,8.0,482500.0
ONKAPARINGA,WOODCROFT,30.0,392000.0
PLAYFORD,ANDREWS FARM,28.0,275000.0
PLAYFORD,ANGLE VALE,4.666666666666667,545000.0
PLAYFORD,BLAKEVIEW,19.666666666666668,300000.0
PLAYFORD,CRAIGMORE,31.333333333333332,309000.0
PLAYFORD,DAVOREN PARK,20.666666666666668,180300.0
PLAYFORD,ELIZABETH,2.6666666666666665,260000.0
PLAYFORD,ELIZABETH DOWNS,14.333333333333334,180000.0
PLAYFORD,ELIZABETH EAST,14.666666666666666,216000.0
PLAYFORD,ELIZABETH GROVE,4.333333333333333,225000.0
PLAYFORD,ELIZABETH NORTH,6.333333333333333,182500.0
PLAYFORD,ELIZABETH PARK,15.0,206000.0
PLAYFORD,ELIZABETH SOUTH,4.333333333333333,207500.0
PLAYFORD,ELIZABETH VALE,16.333333333333332,231000.0
PLAYFORD,EVANSTON PARK,18.333333333333332,375000.0
PLAYFORD,HILLBANK,11.333333333333334,303000.0
PLAYFORD,MUNNO PARA,10.0,251000.0
PLAYFORD,MUNNO PARA WEST,15.0,284250.0
PLAYFORD,ONE TREE HILL,1.0,513500.0
PLAYFORD,PENFIELD,1.3333333333333333,250000.0
PLAYFORD,SMITHFIELD,5.0,220000.0
PLAYFORD,SMITHFIELD PLAINS,5.666666666666667,204000.0
PLAYFORD,VIRGINIA,1.6666666666666667,473000.0
PORT ADELAIDE ENFIELD,ALBERTON,2.6666666666666665,518000.0
PORT ADELAIDE ENFIELD,ANGLE PARK,2.3333333333333335,385500.0
PORT ADELAIDE ENFIELD,BIRKENHEAD,5.333333333333333,392500.0
PORT ADELAIDE ENFIELD,BLAIR ATHOL,9.666666666666666,411250.0
PORT ADELAIDE ENFIELD,BROADVIEW,12.0,528375.0
PORT ADELAIDE ENFIELD,CLEARVIEW,14.0,381000.0
PORT ADELAIDE ENFIELD,CROYDON PARK,8.666666666666666,417500.0
PORT ADELAIDE ENFIELD,DERNANCOURT,14.0,453500.0
PORT ADELAIDE ENFIELD,DEVON PARK,1.6666666666666667,482000.0
PORT ADELAIDE ENFIELD,DUDLEY PARK,1.3333333333333333,357500.0
PORT ADELAIDE ENFIELD,ENFIELD,15.333333333333334,402000.0
PORT ADELAIDE ENFIELD,ETHELTON,4.333333333333333,445000.0
PORT ADELAIDE ENFIELD,EXETER,3.3333333333333335,485500.0
PORT ADELAIDE ENFIELD,FERRYDEN PARK,6.666666666666667,430150.0
PORT ADELAIDE ENFIELD,GEPPS CROSS,1.3333333333333333,340000.0
PORT ADELAIDE ENFIELD,GILLES PLAINS,9.666666666666666,367500.0
PORT ADELAIDE ENFIELD,GLANVILLE,1.3333333333333333,305000.0
PORT ADELAIDE ENFIELD,GREENACRES,14.0,415300.0
PORT ADELAIDE ENFIELD,HAMPSTEAD GARDENS,2.3333333333333335,451333.0
PORT ADELAIDE ENFIELD,HILLCREST,11.666666666666666,439500.0
PORT ADELAIDE ENFIELD,HOLDEN HILL,8.666666666666666,360500.0
PORT ADELAIDE ENFIELD,KILBURN,5.333333333333333,416500.0
PORT ADELAIDE ENFIELD,KLEMZIG,17.666666666666668,492500.0
PORT ADELAIDE ENFIELD,LARGS BAY,7.333333333333333,540000.0
PORT ADELAIDE ENFIELD,LARGS NORTH,17.0,417000.0
PORT ADELAIDE ENFIELD,MANNINGHAM,3.3333333333333335,520000.0
PORT ADELAIDE ENFIELD,MANSFIELD PARK,7.333333333333333,385000.0
PORT ADELAIDE ENFIELD,NORTH HAVEN,16.0,425000.0
PORT ADELAIDE ENFIELD,NORTHFIELD,13.333333333333334,408750.0
PORT ADELAIDE ENFIELD,NORTHGATE,21.333333333333332,535000.0
PORT ADELAIDE ENFIELD,OAKDEN,9.666666666666666,455000.0
PORT ADELAIDE ENFIELD,OSBORNE,5.333333333333333,400000.0
PORT ADELAIDE ENFIELD,OTTOWAY,6.333333333333333,323000.0
PORT ADELAIDE ENFIELD,OVINGHAM,1.6666666666666667,553000.0
PORT ADELAIDE ENFIELD,PETERHEAD,5.0,315000.0
PORT ADELAIDE ENFIELD,PORT ADELAIDE,2.6666666666666665,440000.0
PORT ADELAIDE ENFIELD,PROSPECT,31.333333333333332,580000.0
PORT ADELAIDE ENFIELD,QUEENSTOWN,5.666666666666667,399000.0
PORT ADELAIDE ENFIELD,ROSEWATER,9.333333333333334,365000.0
PORT ADELAIDE ENFIELD,SEFTON PARK,4.0,552500.0
PORT ADELAIDE ENFIELD,SEMAPHORE,6.0,545000.0
PORT ADELAIDE ENFIELD,SEMAPHORE SOUTH,3.6666666666666665,633000.0
PORT ADELAIDE ENFIELD,TAPEROO,9.333333333333334,345000.0
PORT ADELAIDE ENFIELD,VALLEY VIEW,17.0,367500.0
PORT ADELAIDE ENFIELD,WALKLEY HEIGHTS,4.666666666666667,503000.0
PORT ADELAIDE ENFIELD,WINDSOR GARDENS,17.666666666666668,430500.0
PORT ADELAIDE ENFIELD,WINGFIELD,0.6666666666666666,227500.0
PORT ADELAIDE ENFIELD,WOODVILLE GARDENS,1.0,0.0
PROSPECT,BROADVIEW,12.0,528375.0
PROSPECT,COLLINSWOOD,2.6666666666666665,825000.0
PROSPECT,FITZROY,0.6666666666666666,786000.0
PROSPECT,MEDINDIE GARDENS,0.6666666666666666,0.0
PROSPECT,NAILSWORTH,5.0,590000.0
PROSPECT,OVINGHAM,1.6666666666666667,553000.0
PROSPECT,PROSPECT,31.333333333333332,580000.0
PROSPECT,SEFTON PARK,4.0,552500.0
PROSPECT,THORNGATE,0.6666666666666666,850000.0
SALISBURY,BRAHMA LODGE,7.666666666666667,271000.0
SALISBURY,BURTON,22.333333333333332,315000.0
SALISBURY,DIREK,3.6666666666666665,318000.0
SALISBURY,ELIZABETH VALE,16.333333333333332,231000.0
SALISBURY,GULFVIEW HEIGHTS,8.333333333333334,387500.0
SALISBURY,INGLE FARM,34.333333333333336,311000.0
SALISBURY,MAWSON LAKES,42.666666666666664,459000.0
SALISBURY,MODBURY HEIGHTS,16.666666666666668,388000.0
SALISBURY,PARA HILLS,25.333333333333332,301000.0
SALISBURY,PARA HILLS WEST,6.333333333333333,316250.0
SALISBURY,PARA VISTA,9.0,325000.0
SALISBURY,PARAFIELD GARDENS,33.0,305000.0
SALISBURY,PARALOWIE,46.0,280000.0
SALISBURY,POORAKA,22.333333333333332,338000.0
SALISBURY,SALISBURY,15.666666666666666,297000.0
SALISBURY,SALISBURY DOWNS,13.333333333333334,312500.0
SALISBURY,SALISBURY EAST,26.0,302500.0
SALISBURY,SALISBURY HEIGHTS,8.333333333333334,417500.0
SALISBURY,SALISBURY NORTH,17.333333333333332,254000.0
SALISBURY,SALISBURY PARK,6.333333333333333,283500.0
SALISBURY,SALISBURY PLAIN,4.333333333333333,316000.0
SALISBURY,VALLEY VIEW,17.0,367500.0
SALISBURY,WALKLEY HEIGHTS,4.666666666666667,503000.0
TEA TREE GULLY,BANKSIA PARK,10.666666666666666,377500.0
TEA TREE GULLY,DERNANCOURT,14.0,453500.0
TEA TREE GULLY,FAIRVIEW PARK,10.666666666666666,362500.0
TEA TREE GULLY,GILLES PLAINS,9.666666666666666,367500.0
TEA TREE GULLY,GOLDEN GROVE,26.666666666666668,470000.0
TEA TREE GULLY,GREENWITH,28.333333333333332,410250.0
TEA TREE GULLY,GULFVIEW HEIGHTS,8.333333333333334,387500.0
TEA TREE GULLY,HIGHBURY,21.333333333333332,444000.0
TEA TREE GULLY,HOLDEN HILL,8.666666666666666,360500.0
TEA TREE GULLY,HOPE VALLEY,16.333333333333332,384720.0
TEA TREE GULLY,MODBURY,8.666666666666666,356250.0
TEA TREE GULLY,MODBURY HEIGHTS,16.666666666666668,388000.0
TEA TREE GULLY,MODBURY NORTH,12.333333333333334,363250.0
TEA TREE GULLY,REDWOOD PARK,15.666666666666666,370000.0
TEA TREE GULLY,RIDGEHAVEN,10.666666666666666,357000.0
TEA TREE GULLY,SALISBURY EAST,26.0,302500.0
TEA TREE GULLY,SALISBURY HEIGHTS,8.333333333333334,417500.0
TEA TREE GULLY,ST AGNES,8.333333333333334,401000.0
TEA TREE GULLY,SURREY DOWNS,10.666666666666666,350500.0
TEA TREE GULLY,TEA TREE GULLY,9.666666666666666,410000.0
TEA TREE GULLY,VALLEY VIEW,17.0,367500.0
TEA TREE GULLY,VISTA,3.6666666666666665,410275.0
TEA TREE GULLY,WYNN VALE,23.333333333333332,418000.0
UNLEY,BLACK FOREST,4.333333333333333,670000.0
UNLEY,CLARENCE PARK,2.0,742500.0
UNLEY,EVERARD PARK,0.6666666666666666,0.0
UNLEY,FORESTVILLE,0.6666666666666666,523000.0
UNLEY,FULLARTON,7.666666666666667,757500.0
UNLEY,GOODWOOD,4.666666666666667,710000.0
UNLEY,HIGHGATE,3.6666666666666665,852000.0
UNLEY,HYDE PARK,1.0,1040000.0
UNLEY,KESWICK,1.3333333333333333,560000.0
UNLEY,MALVERN,8.0,1102500.0
UNLEY,MILLSWOOD,3.6666666666666665,925000.0
UNLEY,MYRTLE BANK,6.333333333333333,815000.0
UNLEY,PARKSIDE,12.666666666666666,780000.0
UNLEY,UNLEY,8.333333333333334,1000000.5
UNLEY,UNLEY PARK,5.333333333333333,2100000.0
UNLEY,WAYVILLE,1.3333333333333333,775000.0
WALKERVILLE,GILBERTON,4.666666666666667,806000.0
WALKERVILLE,MEDINDIE,2.3333333333333335,1040000.0
WALKERVILLE,VALE PARK,7.666666666666667,615000.0
WALKERVILLE,WALKERVILLE,7.0,990000.0
WEST TORRENS,ASHFORD,1.0,0.0
WEST TORRENS,BROOKLYN PARK,12.333333333333334,452500.0
WEST TORRENS,CAMDEN PARK,9.0,543000.0
WEST TORRENS,COWANDILLA,2.0,414000.0
WEST TORRENS,FULHAM,7.666666666666667,610000.0
WEST TORRENS,GLANDORE,6.666666666666667,615000.0
WEST TORRENS,GLENELG NORTH,13.666666666666666,570000.0
WEST TORRENS,HILTON,2.6666666666666665,525000.0
WEST TORRENS,KESWICK,1.3333333333333333,560000.0
WEST TORRENS,KURRALTA PARK,7.0,586500.0
WEST TORRENS,LOCKLEYS,14.333333333333334,635000.0
WEST TORRENS,MARLESTON,3.0,530000.0
WEST TORRENS,MILE END,6.666666666666667,545000.0
WEST TORRENS,NETLEY,6.666666666666667,452500.0
WEST TORRENS,NORTH PLYMPTON,5.666666666666667,525000.0
WEST TORRENS,NOVAR GARDENS,6.666666666666667,565000.0
WEST TORRENS,PLYMPTON,11.0,520000.0
WEST TORRENS,RICHMOND,7.666666666666667,526500.0
WEST TORRENS,THEBARTON,4.666666666666667,534000.0
WEST TORRENS,TORRENSVILLE,11.666666666666666,576250.0
WEST TORRENS,UNDERDALE,5.333333333333333,511000.0
WEST TORRENS,WEST BEACH,9.0,633500.0
WEST TORRENS,WEST RICHMOND,3.6666666666666665,382500.0
