City,2015 Sales,2015 Median Price
CHARLES STURT       ,KILKENNY             ,1.0,385000.0
CHARLES STURT       ,OVINGHAM             ,3.0,470000.0
CHARLES STURT       ,PENNINGTON           ,6.0,395000.0
CHARLES STURT       ,RENOWN PARK          ,1.0,385000.0
CHARLES STURT       ,RIDLEYTON            ,8.0,495000.0
CHARLES STURT       ,ROYAL PARK           ,13.0,370000.0
CHARLES STURT       ,SEATON               ,32.0,435000.0
CHARLES STURT       ,SEMAPHORE PARK       ,6.0,462500.0
CHARLES STURT       ,ST.CLAIR             ,5.0,546000.0
CHARLES STURT       ,TENNYSON             ,1.0,2150000.0
CHARLES STURT       ,WELLAND              ,1.0,445000.0
CHARLES STURT       ,WEST BEACH           ,19.0,770000.0
CHARLES STURT       ,WEST CROYDON         ,13.0,495000.0
CHARLES STURT       ,WEST HINDMARSH       ,2.0,498250.0
CHARLES STURT       ,WEST LAKES           ,18.0,776500.0
CHARLES STURT       ,WEST LAKES SHORE     ,8.0,600000.0
CHARLES STURT       ,WOODVILLE            ,1.0,538000.0
CHARLES STURT       ,WOODVILLE NORTH      ,7.0,335000.0
CHARLES STURT       ,WOODVILLE PARK       ,5.0,531500.0
CHARLES STURT       ,WOODVILLE SOUTH      ,7.0,485000.0
CHARLES STURT       ,WOODVILLE WEST       ,8.0,454000.0
GAWLER              ,EVANSTON             ,5.0,310000.0
GAWLER              ,EVANSTON GARDENS     ,7.0,292000.0
GAWLER              ,EVANSTON PARK        ,21.0,330000.0
GAWLER              ,EVANSTON SOUTH       ,2.0,417000.0
GAWLER              ,GAWLER               ,1.0,325000.0
GAWLER              ,GAWLER EAST          ,20.0,355000.0
GAWLER              ,GAWLER SOUTH         ,14.0,276000.0
GAWLER              ,GAWLER WEST          ,2.0,206250.0
GAWLER              ,REID                 ,2.0,355000.0
GAWLER              ,WILLASTON            ,17.0,310000.0
HOLDFAST BAY        ,BRIGHTON             ,17.0,855000.0
HOLDFAST BAY        ,GLENELG              ,4.0,948750.0
HOLDFAST BAY        ,GLENELG EAST         ,9.0,650000.0
HOLDFAST BAY        ,GLENELG NORTH        ,19.0,552000.0
HOLDFAST BAY        ,GLENELG SOUTH        ,2.0,610000.0
HOLDFAST BAY        ,HOVE                 ,8.0,683250.0
HOLDFAST BAY        ,KINGSTON PARK        ,1.0,600000.0
HOLDFAST BAY        ,NORTH BRIGHTON       ,8.0,560500.0
HOLDFAST BAY        ,SEACLIFF             ,6.0,755750.0
HOLDFAST BAY        ,SEACLIFF PARK        ,16.0,515000.0
HOLDFAST BAY        ,SOMERTON PARK        ,31.0,712500.0
HOLDFAST BAY        ,SOUTH BRIGHTON       ,8.0,508500.0
MARION              ,ASCOT PARK           ,7.0,405000.0
MARION              ,BEDFORD PARK         ,6.0,416500.0
MARION              ,CLOVELLY PARK        ,14.0,486500.0
MARION              ,DARLINGTON           ,6.0,477500.0
MARION              ,DOVER GARDENS        ,19.0,450000.0
MARION              ,EDWARDSTOWN          ,16.0,432500.0
MARION              ,GLANDORE             ,7.0,585000.0
MARION              ,GLENGOWRIE           ,21.0,571000.0
MARION              ,HALLETT COVE         ,56.0,430000.0
MARION              ,MARINO               ,20.0,710500.0
MARION              ,MARION               ,17.0,472250.0
MARION              ,MITCHELL PARK        ,18.0,416000.0
MARION              ,MORPHETTVILLE        ,9.0,482000.0
MARION              ,OAKLANDS PARK        ,11.0,433500.0
MARION              ,O'HALLORAN HILL      ,11.0,352300.0
MARION              ,PARK HOLME           ,5.0,425000.0
MARION              ,PLYMPTON PARK        ,9.0,490250.0
MARION              ,SEACLIFF PARK        ,16.0,515000.0
MARION              ,SEACOMBE GARDENS     ,8.0,426500.0
MARION              ,SEACOMBE HEIGHTS     ,8.0,480000.0
MARION              ,SEAVIEW DOWNS        ,11.0,460000.0
MARION              ,SHEIDOW PARK         ,32.0,411000.0
MARION              ,SOUTH PLYMPTON       ,15.0,445000.0
MARION              ,STURT                ,14.0,396500.0
MARION              ,TROTT PARK           ,11.0,350000.0
MARION              ,WARRADALE            ,21.0,512500.0
MITCHAM             ,BEDFORD PARK         ,6.0,416500.0
MITCHAM             ,BELAIR               ,18.0,595000.0
MITCHAM             ,BELLEVUE HEIGHTS     ,5.0,450000.0
MITCHAM             ,BLACKWOOD            ,21.0,530000.0
MITCHAM             ,CLAPHAM              ,8.0,592500.0
MITCHAM             ,CLARENCE GARDENS     ,8.0,555500.0
MITCHAM             ,COLONEL LIGHT GARDENS,9.0,615000.0
MITCHAM             ,COROMANDEL VALLEY    ,20.0,467500.0
MITCHAM             ,CRAFERS WEST         ,3.0,577000.0
MITCHAM             ,CRAIGBURN FARM       ,7.0,642500.0
MITCHAM             ,CUMBERLAND PARK      ,7.0,643500.0
MITCHAM             ,DAW PARK             ,7.0,535000.0
MITCHAM             ,EDEN HILLS           ,8.0,490000.0
MITCHAM             ,GLENALTA             ,5.0,470500.0
MITCHAM             ,HAWTHORN             ,9.0,827450.0
MITCHAM             ,HAWTHORNDENE         ,11.0,434000.0
MITCHAM             ,KINGSWOOD            ,8.0,1080000.0
MITCHAM             ,LOWER MITCHAM        ,5.0,721500.0
MITCHAM             ,LYNTON               ,1.0,690000.0
MITCHAM             ,MELROSE PARK         ,6.0,547500.0
MITCHAM             ,MITCHAM              ,8.0,650000.0
MITCHAM             ,NETHERBY             ,4.0,1145000.0
MITCHAM             ,PANORAMA             ,5.0,541000.0
MITCHAM             ,PASADENA             ,9.0,482500.0
MITCHAM             ,ST.MARYS             ,9.0,370000.0
MITCHAM             ,TORRENS PARK         ,10.0,765000.0
MITCHAM             ,UPPER STURT          ,4.0,500000.0
MITCHAM             ,URRBRAE              ,4.0,1150000.0
MITCHAM             ,WESTBOURNE PARK      ,6.0,680000.0
MOUNT BARKER        ,BALHANNAH            ,9.0,439000.0
MOUNT BARKER        ,BRIDGEWATER          ,12.0,405500.0
MOUNT BARKER        ,BRUKUNGA             ,2.0,204500.0
MOUNT BARKER        ,CALLINGTON           ,2.0,173000.0
MOUNT BARKER        ,ECHUNGA              ,5.0,400000.0
MOUNT BARKER        ,HAHNDORF             ,6.0,590000.0
MOUNT BARKER        ,KANGARILLA           ,4.0,405500.0
MOUNT BARKER        ,KANMANTOO            ,4.0,338500.0
MOUNT BARKER        ,LITTLEHAMPTON        ,19.0,452500.0
MOUNT BARKER        ,MACCLESFIELD         ,4.0,582000.0
MOUNT BARKER        ,MEADOWS              ,4.0,261250.0
MOUNT BARKER        ,MOUNT BARKER         ,49.0,374000.0
MOUNT BARKER        ,MYLOR                ,1.0,390000.0
MOUNT BARKER        ,NAIRNE               ,21.0,367000.0
MOUNT BARKER        ,VERDUN               ,1.0,417500.0
MOUNT BARKER        ,WOODSIDE             ,6.0,313750.0
NORWD PAYNM ST PET  ,COLLEGE PARK         ,3.0,1500000.0
NORWD PAYNM ST PET  ,EVANDALE             ,6.0,727500.0
NORWD PAYNM ST PET  ,FELIXSTOW            ,5.0,535000.0
NORWD PAYNM ST PET  ,FIRLE                ,4.0,515000.0
NORWD PAYNM ST PET  ,GLYNDE               ,6.0,515500.0
NORWD PAYNM ST PET  ,HACKNEY              ,1.0,875000.0
NORWD PAYNM ST PET  ,HEATHPOOL            ,3.0,1500000.0
NORWD PAYNM ST PET  ,JOSLIN               ,1.0,775000.0
NORWD PAYNM ST PET  ,KENSINGTON           ,3.0,755000.0
NORWD PAYNM ST PET  ,MARDEN               ,12.0,411000.0
NORWD PAYNM ST PET  ,MARRYATVILLE         ,3.0,781000.0
NORWD PAYNM ST PET  ,MAYLANDS             ,5.0,1250000.0
NORWD PAYNM ST PET  ,NORWOOD              ,13.0,900000.0
NORWD PAYNM ST PET  ,PAYNEHAM             ,4.0,556500.0
NORWD PAYNM ST PET  ,PAYNEHAM SOUTH       ,2.0,581250.0
NORWD PAYNM ST PET  ,ROYSTON PARK         ,7.0,780000.0
NORWD PAYNM ST PET  ,ST.PETERS            ,9.0,1130000.0
NORWD PAYNM ST PET  ,STEPNEY              ,2.0,655000.0
NORWD PAYNM ST PET  ,TRINITY GARDENS      ,5.0,590000.0
ONKAPARINGA         ,ABERFOYLE PARK       ,47.0,361250.0
ONKAPARINGA         ,ALDINGA BEACH        ,63.0,333000.0
ONKAPARINGA         ,CHANDLERS HILL       ,1.0,552000.0
ONKAPARINGA         ,CHRISTIE DOWNS       ,18.0,239000.0
ONKAPARINGA         ,CHRISTIES BEACH      ,23.0,305000.0
ONKAPARINGA         ,COROMANDEL VALLEY    ,20.0,467500.0
ONKAPARINGA         ,DARLINGTON           ,6.0,477500.0
ONKAPARINGA         ,FLAGSTAFF HILL       ,41.0,435000.0
ONKAPARINGA         ,HACKHAM              ,14.0,250000.0
ONKAPARINGA         ,HACKHAM WEST         ,13.0,263000.0
ONKAPARINGA         ,HAPPY VALLEY         ,41.0,350000.0
ONKAPARINGA         ,HUNTFIELD HEIGHTS    ,7.0,236000.0
ONKAPARINGA         ,KANGARILLA           ,4.0,405500.0
ONKAPARINGA         ,MASLIN BEACH         ,5.0,424707.0
ONKAPARINGA         ,MCLAREN FLAT         ,7.0,485000.0
ONKAPARINGA         ,MCLAREN VALE         ,11.0,465000.0
ONKAPARINGA         ,MOANA                ,12.0,390750.0
ONKAPARINGA         ,MORPHETT VALE        ,77.0,290000.0
ONKAPARINGA         ,MYLOR                ,1.0,390000.0
