City,Suburb,"Sales
2Q 2015","Median
2Q 2015","Sales
2Q 2016","Median
2Q 2016","Median
Change"
ADELAIDE,ADELAIDE,11,797500,,,
ADELAIDE,NORTH ADELAIDE,11,1094500,14,892500,-0.1846
ADELAIDE HILLS,ALDGATE,9,650000,16,750000,0.1538
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,1,370000,,,
ADELAIDE HILLS,BELAIR,23,520500,15,561000,0.0778
ADELAIDE HILLS,BRADBURY,1,595000,,,
ADELAIDE HILLS,BRIDGEWATER,21,418000,18,432000,0.0335
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,1,397500,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,5,585000,3,537000,-0.0821
ADELAIDE HILLS,CRAFERS WEST,8,561250,6,642500,0.1448
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,4,492500,3,490000,-0.0051
ADELAIDE HILLS,HEATHFIELD,3,600000,4,605000,0.0083
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,1,640000,
ADELAIDE HILLS,MYLOR,1,380000,5,575000,0.5132
ADELAIDE HILLS,NORTON SUMMIT,,,,,
ADELAIDE HILLS,PICCADILLY,,,1,665000,
ADELAIDE HILLS,ROSTREVOR,28,543500,33,605000,0.1132
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,13,630000,7,755000,0.1984
ADELAIDE HILLS,STONYFELL,4,845000,5,652500,-0.2278
ADELAIDE HILLS,SUMMERTOWN,2,517500,,,
ADELAIDE HILLS,TERINGIE,2,588750,4,607500,0.0318
ADELAIDE HILLS,UPPER STURT,2,423750,3,555000,0.3097
ADELAIDE HILLS,URAIDLA,4,605500,1,480000,-0.2073
ADELAIDE HILLS,WATERFALL GULLY,1,1638888,,,
ADELAIDE HILLS,WOODFORDE,2,560000,2,569000,0.0161
BURNSIDE,AULDANA,1,820000,5,850000,0.0366
BURNSIDE,BEAUMONT,16,800800,17,821220,0.0255
BURNSIDE,BEULAH PARK,8,577500,9,688000,0.1913
BURNSIDE,BURNSIDE,10,901000,5,805000,-0.1065
BURNSIDE,DULWICH,5,715000,5,1210000,0.6923
BURNSIDE,EASTWOOD,2,548750,4,582500,0.0615
BURNSIDE,ERINDALE,2,883000,5,1130000,0.2797
BURNSIDE,FREWVILLE,,,1,835000,
BURNSIDE,GLEN OSMOND,8,755500,5,926500,0.2263
BURNSIDE,GLENSIDE,7,790000,5,856000,0.0835
BURNSIDE,GLENUNGA,5,670000,3,957500,0.4291
BURNSIDE,HAZELWOOD PARK,6,980000,10,1127500,0.1505
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,11,842000,10,825500,-0.0196
BURNSIDE,KENSINGTON PARK,12,932500,12,780000,-0.1635
BURNSIDE,LEABROOK,2,1080500,2,1092500,0.0111
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,2,850000,6,850000,0
BURNSIDE,MAGILL,53,606000,31,598000,-0.0132
BURNSIDE,MOUNT OSMOND,1,495000,2,860000,0.7374
BURNSIDE,ROSE PARK,5,1170000,2,1668500,0.4261
BURNSIDE,ROSSLYN PARK,8,746500,8,815000,0.0918
BURNSIDE,SKYE,3,630000,2,937500,0.4881
BURNSIDE,ST GEORGES,7,1030000,10,960000,-0.068
BURNSIDE,STONYFELL,4,845000,5,652500,-0.2278
BURNSIDE,TOORAK GARDENS,9,1930000,9,1252500,-0.351
BURNSIDE,TUSMORE,4,1015000,3,1765000,0.7389
BURNSIDE,WATERFALL GULLY,1,1638888,,,
BURNSIDE,WATTLE PARK,11,805000,3,832000,0.0335
CAMPBELLTOWN,ATHELSTONE,31,500000,28,495000,-0.01
CAMPBELLTOWN,CAMPBELLTOWN,37,510000,33,530000,0.0392
CAMPBELLTOWN,HECTORVILLE,8,501000,12,517000,0.0319
CAMPBELLTOWN,MAGILL,53,606000,31,598000,-0.0132
CAMPBELLTOWN,NEWTON,17,497500,21,500500,0.006
CAMPBELLTOWN,PARADISE,25,468500,18,517500,0.1046
CAMPBELLTOWN,ROSTREVOR,28,543500,33,605000,0.1132
CAMPBELLTOWN,TRANMERE,18,625000,11,685500,0.0968
CHARLES STURT,ALBERT PARK,8,400000,12,467000,0.1675
CHARLES STURT,ALLENBY GARDENS,2,500000,5,581800,0.1636
CHARLES STURT,ATHOL PARK,5,328500,7,367000,0.1172
CHARLES STURT,BEVERLEY,4,477500,10,476750,-0.0016
CHARLES STURT,BOWDEN,1,1725000,,,
CHARLES STURT,BROMPTON,8,500000,15,491000,-0.018
CHARLES STURT,CHELTENHAM,1,745000,3,400000,-0.4631
CHARLES STURT,CROYDON,1,500000,5,500000,0
CHARLES STURT,DEVON PARK,,,4,505500,
CHARLES STURT,FINDON,23,440000,13,480000,0.0909
CHARLES STURT,FLINDERS PARK,19,555000,19,560000,0.009
CHARLES STURT,FULHAM GARDENS,24,579000,18,570000,-0.0155
CHARLES STURT,GRANGE,17,625000,21,675000,0.08
CHARLES STURT,HENDON,4,407500,5,420000,0.0307
CHARLES STURT,HENLEY BEACH,14,719150,16,799000,0.111
CHARLES STURT,HENLEY BEACH SOUTH,6,1000000,9,715000,-0.285
CHARLES STURT,HINDMARSH,,,,,
CHARLES STURT,KIDMAN PARK,7,592500,6,610000,0.0295
CHARLES STURT,KILKENNY,3,462500,4,515000,0.1135
CHARLES STURT,OVINGHAM,4,638625,5,685000,0.0726
CHARLES STURT,PENNINGTON,6,345000,5,384500,0.1145
CHARLES STURT,RENOWN PARK,2,410000,3,532500,0.2988
CHARLES STURT,RIDLEYTON,4,428000,1,560000,0.3084
CHARLES STURT,ROSEWATER,20,365000,20,325000,-0.1096
CHARLES STURT,ROYAL PARK,18,348000,11,425000,0.2213
CHARLES STURT,SEATON,25,445000,31,483000,0.0854
CHARLES STURT,SEMAPHORE PARK,11,502500,12,505000,0.005
CHARLES STURT,ST CLAIR,5,645000,6,481000,-0.2543
CHARLES STURT,TENNYSON,6,762500,3,900000,0.1803
CHARLES STURT,WELLAND,,,,,
CHARLES STURT,WEST BEACH,17,585000,7,706000,0.2068
CHARLES STURT,WEST CROYDON,15,530000,8,560500,0.0575
CHARLES STURT,WEST HINDMARSH,1,480000,3,480000,0
CHARLES STURT,WEST LAKES,23,707500,14,715500,0.0113
CHARLES STURT,WEST LAKES SHORE,3,822500,14,571500,-0.3052
CHARLES STURT,WOODVILLE,4,557500,8,580000,0.0404
CHARLES STURT,WOODVILLE NORTH,6,393500,9,500000,0.2706
CHARLES STURT,WOODVILLE PARK,7,547500,4,517500,-0.0548
CHARLES STURT,WOODVILLE SOUTH,17,450000,15,450000,0
CHARLES STURT,WOODVILLE WEST,12,462500,9,489000,0.0573
GAWLER,BIBARINGA,,,,,
GAWLER,EVANSTON,12,255000,16,322500,0.2647
GAWLER,EVANSTON GARDENS,13,329900,5,300000,-0.0906
GAWLER,EVANSTON PARK,29,327500,15,357500,0.0916
GAWLER,EVANSTON SOUTH,1,455000,2,402000,-0.1165
GAWLER,GAWLER,3,363000,,,
GAWLER,GAWLER EAST,29,337000,14,321500,-0.046
GAWLER,GAWLER SOUTH,15,319950,13,319250,-0.0022
GAWLER,GAWLER WEST,,,5,247000,
GAWLER,HILLIER,,,,,
GAWLER,KUDLA,,,,,
GAWLER,REID,1,415000,2,407500,-0.0181
GAWLER,ULEYBURY,,,,,
GAWLER,WILLASTON,23,295750,19,303000,0.0245
HOLDFAST BAY,BRIGHTON,13,783500,16,780000,-0.0045
HOLDFAST BAY,GLENELG,2,1050000,1,2200000,1.0952
HOLDFAST BAY,GLENELG EAST,9,900000,5,725000,-0.1944
HOLDFAST BAY,GLENELG NORTH,13,558000,12,685000,0.2276
HOLDFAST BAY,GLENELG SOUTH,4,715000,3,910000,0.2727
HOLDFAST BAY,HOVE,11,725000,4,645000,-0.1103
HOLDFAST BAY,KINGSTON PARK,2,1012500,,,
HOLDFAST BAY,NORTH BRIGHTON,5,632500,6,605000,-0.0435
HOLDFAST BAY,SEACLIFF,6,635350,1,936000,0.4732
HOLDFAST BAY,SEACLIFF PARK,8,502500,10,517000,0.0289
HOLDFAST BAY,SOMERTON PARK,18,830000,19,660000,-0.2048
HOLDFAST BAY,SOUTH BRIGHTON,14,550000,8,590000,0.0727
MARION,ASCOT PARK,20,395000,7,424000,0.0734
MARION,BEDFORD PARK,6,481500,5,516000,0.0717
MARION,CLOVELLY PARK,10,445500,16,468400,0.0514
MARION,DARLINGTON,1,605000,2,447500,-0.2603
MARION,DOVER GARDENS,10,420000,11,495000,0.1786
MARION,EDWARDSTOWN,17,432500,15,470000,0.0867
MARION,GLANDORE,9,542500,8,550000,0.0138
MARION,GLENGOWRIE,11,598500,20,620000,0.0359
MARION,HALLETT COVE,37,467500,50,408500,-0.1262
MARION,LONSDALE,,,,,
