City,Suburb,"Sales
4Q 2016","Median
4Q 2016","Sales
4Q 2017","Median
4Q 2017","Median
Change"
ADELAIDE,ADELAIDE,7,705000,6,780500,0.1071
ADELAIDE,NORTH ADELAIDE,7,1165000,5,1095000,-0.0601
ADELAIDE HILLS,ALDGATE,10,698500,10,675000,-0.0336
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,18,623000,14,570000,-0.0851
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,12,490500,18,448000,-0.0866
ADELAIDE HILLS,CAREY GULLY,1,600000,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,621500,5,820000,0.3194
ADELAIDE HILLS,CRAFERS WEST,6,787500,6,742500,-0.0571
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,3,455000,2,570000,0.2527
ADELAIDE HILLS,HEATHFIELD,1,554000,3,710000,0.2816
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,1,580000,
ADELAIDE HILLS,MARBLE HILL,1,570000,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,1,510000,2,645000,0.2647
ADELAIDE HILLS,NORTON SUMMIT,1,530000,1,730000,0.3774
ADELAIDE HILLS,PICCADILLY,3,569000,,,
ADELAIDE HILLS,ROSTREVOR,30,552500,36,639000,0.1566
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,13,828500,9,710000,-0.143
ADELAIDE HILLS,STONYFELL,8,890000,5,1075000,0.2079
ADELAIDE HILLS,SUMMERTOWN,1,550000,3,513000,-0.0673
ADELAIDE HILLS,TERINGIE,2,676500,1,810000,0.1973
ADELAIDE HILLS,UPPER STURT,5,500000,3,473500,-0.053
ADELAIDE HILLS,URAIDLA,,,4,450000,
ADELAIDE HILLS,WATERFALL GULLY,,,1,1065000,
ADELAIDE HILLS,WOODFORDE,1,682500,3,560500,-0.1788
BURNSIDE,AULDANA,1,2535000,2,1157500,-0.5434
BURNSIDE,BEAUMONT,7,825000,11,1012250,0.227
BURNSIDE,BEULAH PARK,6,805875,7,685000,-0.15
BURNSIDE,BURNSIDE,8,694000,3,825000,0.1888
BURNSIDE,DULWICH,7,1000000,4,1443000,0.443
BURNSIDE,EASTWOOD,2,539000,2,746000,0.384
BURNSIDE,ERINDALE,5,1292000,7,1410000,0.0913
