City,Suburb,"Sales
3Q 2016","Median
3Q 2016","Sales
3Q 2017","Median
3Q 2017","Median
Change"
ADELAIDE,ADELAIDE,8,775000,4,695000,-0.1032
ADELAIDE,NORTH ADELAIDE,7,932000,9,1375000,0.4753
ADELAIDE HILLS,ALDGATE,18,660000,12,735000,0.1136
ADELAIDE HILLS,ASHTON,1,875000,,,
ADELAIDE HILLS,BASKET RANGE,,,1,488000,
ADELAIDE HILLS,BELAIR,11,605000,21,613000,0.0132
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,21,536250,24,465000,-0.1329
ADELAIDE HILLS,CAREY GULLY,,,1,562500,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,11,850000,8,720000,-0.1529
ADELAIDE HILLS,CRAFERS WEST,7,526000,4,636000,0.2091
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,4,671000,,,
ADELAIDE HILLS,HEATHFIELD,4,630500,3,565000,-0.1039
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,1,565000,,,
ADELAIDE HILLS,MARBLE HILL,,,1,460000,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,2,615500,3,591500,-0.039
ADELAIDE HILLS,NORTON SUMMIT,,,2,612500,
ADELAIDE HILLS,PICCADILLY,1,460000,1,615000,0.337
ADELAIDE HILLS,ROSTREVOR,25,570000,39,612500,0.0746
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,8,630000,11,704000,0.1175
ADELAIDE HILLS,STONYFELL,6,818000,2,825000,0.0086
ADELAIDE HILLS,SUMMERTOWN,3,590000,1,550000,-0.0678
ADELAIDE HILLS,TERINGIE,3,795000,5,900000,0.1321
ADELAIDE HILLS,UPPER STURT,1,450000,3,630000,0.4
ADELAIDE HILLS,URAIDLA,1,565000,1,630000,0.115
ADELAIDE HILLS,WATERFALL GULLY,,,1,782000,
ADELAIDE HILLS,WOODFORDE,1,485000,,,
BURNSIDE,AULDANA,5,985000,2,1795500,0.8228
BURNSIDE,BEAUMONT,9,940000,10,957000,0.0181
BURNSIDE,BEULAH PARK,4,670750,3,730750,0.0895
BURNSIDE,BURNSIDE,12,879000,10,1008000,0.1468
BURNSIDE,DULWICH,1,1300000,5,1395000,0.0731
BURNSIDE,EASTWOOD,2,593750,1,630000,0.0611
BURNSIDE,ERINDALE,2,1024000,5,878000,-0.1426
BURNSIDE,FREWVILLE,2,890500,,,
BURNSIDE,GLEN OSMOND,11,890000,8,915500,0.0287
BURNSIDE,GLENSIDE,4,1004000,3,1250000,0.245
BURNSIDE,GLENUNGA,8,941500,9,880000,-0.0653
BURNSIDE,HAZELWOOD PARK,9,775000,2,852500,0.1
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,6,880000,4,1070000,0.2159
BURNSIDE,KENSINGTON PARK,8,902500,6,1058250,0.1726
BURNSIDE,LEABROOK,3,1250000,4,1030000,-0.176
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,4,775000,10,897500,0.1581
BURNSIDE,MAGILL,40,650000,38,704000,0.0831
BURNSIDE,MOUNT OSMOND,1,800000,3,640000,-0.2
