City,Suburb,"Sales
2Q 2022","Median
2Q 2022","Sales
2Q 2023","Median
2Q 2023","Median
Change"
ADELAIDE,ADELAIDE,5,940000,4,978000,0.0404
ADELAIDE,NORTH ADELAIDE,15,1300000,3,1040000,-0.2
ADELAIDE HILLS,ALDGATE,5,1320000,11,1119045,-0.1522
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BALHANNAH,2,790000,1,635000,-0.1962
ADELAIDE HILLS,BASKET RANGE,1,785000,,,
ADELAIDE HILLS,BELAIR,18,975000,19,1101000,0.1292
ADELAIDE HILLS,BIRDWOOD,7,550000,2,470000,-0.1455
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,15,760000,23,800000,0.0526
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHARLESTON,1,615000,1,780000,0.2683
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,15,1050000,11,1045000,-0.0048
ADELAIDE HILLS,CRAFERS WEST,4,845500,2,1270000,0.5021
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,,,2,752500,
ADELAIDE HILLS,GUMERACHA,4,560000,1,625000,0.1161
ADELAIDE HILLS,HEATHFIELD,2,887500,4,980000,0.1042
ADELAIDE HILLS,HORSNELL GULLY,,,1,1300000,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,KERSBROOK,1,630000,5,801000,0.2714
ADELAIDE HILLS,LENSWOOD,1,900000,3,660000,-0.2667
ADELAIDE HILLS,LOBETHAL,10,441500,4,560000,0.2684
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,1,1451000,1,1050000,-0.2764
ADELAIDE HILLS,MYLOR,3,648000,,,
ADELAIDE HILLS,NORTON SUMMIT,1,770000,1,1100000,0.4286
ADELAIDE HILLS,OAKBANK,1,550000,1,860000,0.5636
ADELAIDE HILLS,PICCADILLY,1,735000,1,830000,0.1293
ADELAIDE HILLS,ROSTREVOR,27,959750,26,874575,-0.0887
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,17,1250000,5,1120000,-0.104
ADELAIDE HILLS,SUMMERTOWN,2,2000000,,,
ADELAIDE HILLS,TERINGIE,5,2005000,4,1169000,-0.417
ADELAIDE HILLS,UPPER STURT,3,875000,,,
ADELAIDE HILLS,URAIDLA,2,820000,1,1105000,0.3476
ADELAIDE HILLS,WATERFALL GULLY,1,1750000,1,1290000,-0.2629
ADELAIDE HILLS,WOODFORDE,3,1038000,5,1110000,0.0694
ADELAIDE HILLS,WOODSIDE,9,500000,7,617000,0.234
BURNSIDE,AULDANA,1,1700000,1,2068000,0.2165
BURNSIDE,BEAUMONT,14,1842444,11,1790000,-0.0285
BURNSIDE,BEULAH PARK,6,1330000,4,1100000,-0.1729
BURNSIDE,BURNSIDE,9,1750500,11,1280000,-0.2688
BURNSIDE,DULWICH,6,1588500,1,962500,-0.3941
BURNSIDE,EASTWOOD,2,1155000,3,1200000,0.039
BURNSIDE,ERINDALE,7,1720000,1,1500000,-0.1279
BURNSIDE,FREWVILLE,3,1500000,2,1271000,-0.1527
BURNSIDE,GLEN OSMOND,4,1475000,4,1165000,-0.2102
BURNSIDE,GLENSIDE,7,1502500,5,1700000,0.1314
BURNSIDE,GLENUNGA,8,1783000,3,1475000,-0.1727
BURNSIDE,HAZELWOOD PARK,4,1465000,3,1720000,0.1741
BURNSIDE,HORSNELL GULLY,,,1,1300000,
BURNSIDE,KENSINGTON GARDENS,6,1732500,10,1841500,0.0629
BURNSIDE,KENSINGTON PARK,10,2000000,1,1230000,-0.385
BURNSIDE,LEABROOK,2,2150000,1,2890000,0.3442
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,5,1370000,7,1392500,0.0164
BURNSIDE,MAGILL,35,960500,23,1000000,0.0411
BURNSIDE,MOUNT OSMOND,2,1346000,,,
BURNSIDE,ROSE PARK,4,2360000,1,1830000,-0.2246
BURNSIDE,ROSSLYN PARK,9,1460000,3,1430000,-0.0205
BURNSIDE,SKYE,1,1205000,1,1060000,-0.1203
BURNSIDE,ST GEORGES,7,1796500,5,2350000,0.3081
BURNSIDE,STONYFELL,2,1158500,9,1550000,0.3379
BURNSIDE,TOORAK GARDENS,15,3225000,2,1660000,-0.4853
BURNSIDE,TUSMORE,2,1861500,4,1950000,0.0475
BURNSIDE,WATERFALL GULLY,1,1750000,1,1290000,-0.2629
BURNSIDE,WATTLE PARK,6,1450000,4,1365944,-0.058
CAMPBELLTOWN,ATHELSTONE,22,833000,32,795500,-0.045
CAMPBELLTOWN,CAMPBELLTOWN,26,817500,26,811000,-0.008
CAMPBELLTOWN,HECTORVILLE,15,817500,11,842000,0.03
CAMPBELLTOWN,MAGILL,35,960500,23,1000000,0.0411
CAMPBELLTOWN,NEWTON,18,780000,8,805000,0.0321
