City,Suburb,"Sales
1Q 2017","Median
1Q 2017","Sales
1Q 2018","Median
1Q 2018","Median
Change"
ADELAIDE,ADELAIDE,6,673750,5,861000,0.2779
ADELAIDE,NORTH ADELAIDE,7,1100000,2,2195500,0.9959
ADELAIDE HILLS,ALDGATE,18,782500,17,696000,-0.1105
ADELAIDE HILLS,ASHTON,1,415000,3,681200,0.6414
ADELAIDE HILLS,BASKET RANGE,1,470000,,,
ADELAIDE HILLS,BELAIR,19,700000,14,585000,-0.1643
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,19,438950,18,490000,0.1163
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,12,775000,11,835250,0.0777
ADELAIDE HILLS,CRAFERS WEST,3,562500,5,555000,-0.0133
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,476500,,,
ADELAIDE HILLS,HEATHFIELD,,,3,700000,
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,1,490000,
ADELAIDE HILLS,MOUNT GEORGE,,,1,485000,
ADELAIDE HILLS,MYLOR,2,458750,,,
ADELAIDE HILLS,NORTON SUMMIT,2,640000,1,690000,0.0781
ADELAIDE HILLS,PICCADILLY,,,2,794000,
ADELAIDE HILLS,ROSTREVOR,30,572500,32,612500,0.0699
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,17,780000,7,690000,-0.1154
ADELAIDE HILLS,STONYFELL,8,905500,4,1102500,0.2176
ADELAIDE HILLS,SUMMERTOWN,3,621500,4,550000,-0.115
ADELAIDE HILLS,TERINGIE,1,779500,1,639000,-0.1802
ADELAIDE HILLS,UPPER STURT,1,530000,1,477500,-0.0991
ADELAIDE HILLS,URAIDLA,2,585250,1,680000,0.1619
ADELAIDE HILLS,WATERFALL GULLY,,,2,688500,
ADELAIDE HILLS,WOODFORDE,1,860000,3,718500,-0.1645
BURNSIDE,AULDANA,2,759000,5,1200000,0.581
