City,Suburb,"Sales
3Q 2020","Median
3Q 2020","Sales
3Q 2021","Median
3Q 2021","Median
Change"
ADELAIDE,ADELAIDE,3,671000,5,1012500,0.5089
ADELAIDE,NORTH ADELAIDE,8,1025000,9,1250000,0.2195
ADELAIDE HILLS,ALDGATE,11,730000,15,875000,0.1986
ADELAIDE HILLS,ASHTON,,,1,765000,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,16,665000,18,815000,0.2256
ADELAIDE HILLS,BRADBURY,1,412000,,,
ADELAIDE HILLS,BRIDGEWATER,17,525000,13,974100,0.8554
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,3,602000,5,835000,0.387
ADELAIDE HILLS,CRAFERS WEST,4,1010000,5,847250,-0.1611
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,1,600000,4,1356000,1.26
ADELAIDE HILLS,HEATHFIELD,,,3,860000,
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,937000,,,
ADELAIDE HILLS,LONGWOOD,1,570000,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,,,,,
ADELAIDE HILLS,NORTON SUMMIT,2,706000,,,
ADELAIDE HILLS,PICCADILLY,,,,,
ADELAIDE HILLS,ROSTREVOR,24,662500,42,755000,0.1396
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,14,857500,3,1340000,0.5627
ADELAIDE HILLS,STONYFELL,3,925000,4,1123750,0.2149
ADELAIDE HILLS,SUMMERTOWN,3,600000,,,
ADELAIDE HILLS,TERINGIE,,,2,1240000,
ADELAIDE HILLS,UPPER STURT,3,790000,2,673000,-0.1481
ADELAIDE HILLS,URAIDLA,5,537000,2,796944,0.4841
ADELAIDE HILLS,WATERFALL GULLY,2,953500,,,
ADELAIDE HILLS,WOODFORDE,2,737500,6,930000,0.261
BURNSIDE,AULDANA,3,1060000,3,1620000,0.5283
BURNSIDE,BEAUMONT,8,917500,15,1742000,0.8986
BURNSIDE,BEULAH PARK,5,790000,5,977500,0.2373
BURNSIDE,BURNSIDE,8,825000,10,1000000,0.2121
BURNSIDE,DULWICH,5,920000,6,1565000,0.7011
BURNSIDE,EASTWOOD,,,3,1000000,
BURNSIDE,ERINDALE,4,1529000,4,1353000,-0.1151
BURNSIDE,FREWVILLE,,,1,970000,
BURNSIDE,GLEN OSMOND,8,948000,7,1185000,0.25
BURNSIDE,GLENSIDE,4,934750,8,1325000,0.4175
BURNSIDE,GLENUNGA,3,1145000,9,1500000,0.31
