City,Suburb,"Sales
1Q 2018","Median
1Q 2018","Sales
1Q 2019","Median
1Q 2019","Median
Change"
ADELAIDE,ADELAIDE,5,861000,4,1002500,0.1643
ADELAIDE,NORTH ADELAIDE,2,2195500,10,972000,-0.5573
ADELAIDE HILLS,ALDGATE,17,696000,16,830000,0.1925
ADELAIDE HILLS,ASHTON,3,681200,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,14,585000,15,657500,0.1239
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,19,507500,14,568750,0.1207
ADELAIDE HILLS,CAREY GULLY,,,1,480000,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,11,845125,8,732500,-0.1333
ADELAIDE HILLS,CRAFERS WEST,5,600000,6,627750,0.0463
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,,,4,574000,
ADELAIDE HILLS,HEATHFIELD,3,500000,4,718000,0.436
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,1,620000,
ADELAIDE HILLS,MONTACUTE,1,490000,,,
ADELAIDE HILLS,MOUNT GEORGE,1,485000,1,563000,0.1608
ADELAIDE HILLS,MYLOR,,,1,600000,
ADELAIDE HILLS,NORTON SUMMIT,1,690000,1,630000,-0.087
ADELAIDE HILLS,PICCADILLY,3,740000,1,775000,0.0473
ADELAIDE HILLS,ROSTREVOR,32,612500,31,662500,0.0816
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,7,720000,5,792558,0.1008
ADELAIDE HILLS,STONYFELL,4,1102500,3,800000,-0.2744
ADELAIDE HILLS,SUMMERTOWN,4,625000,3,720000,0.152
ADELAIDE HILLS,TERINGIE,1,639000,2,657500,0.029
ADELAIDE HILLS,UPPER STURT,1,477500,5,507000,0.0618
ADELAIDE HILLS,URAIDLA,1,680000,1,670000,-0.0147
ADELAIDE HILLS,WATERFALL GULLY,2,688500,,,
ADELAIDE HILLS,WOODFORDE,3,835000,2,1005000,0.2036
BURNSIDE,AULDANA,5,1200000,1,2460000,1.05
BURNSIDE,BEAUMONT,13,963000,7,955000,-0.0083
BURNSIDE,BEULAH PARK,5,757000,6,918000,0.2127
BURNSIDE,BURNSIDE,11,784500,6,1000000,0.2747
BURNSIDE,DULWICH,6,1119000,3,1250000,0.1171
BURNSIDE,EASTWOOD,1,527000,,,
BURNSIDE,ERINDALE,3,1450000,5,1275000,-0.1207
BURNSIDE,FREWVILLE,,,2,687444,
BURNSIDE,GLEN OSMOND,4,1095000,8,1280000,0.1689
BURNSIDE,GLENSIDE,3,885000,3,1225000,0.3842
BURNSIDE,GLENUNGA,8,1275000,8,1045400,-0.1801
BURNSIDE,HAZELWOOD PARK,5,1169000,3,905000,-0.2258
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,4,1208500,7,1160000,-0.0401
BURNSIDE,KENSINGTON PARK,8,1235000,5,1225000,-0.0081
BURNSIDE,LEABROOK,2,920050,3,1951000,1.1205
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,7,890000,8,920000,0.0337
BURNSIDE,MAGILL,35,677500,24,600000,-0.1144
BURNSIDE,MOUNT OSMOND,2,707500,4,1250000,0.7668
BURNSIDE,ROSE PARK,1,1684000,,,
BURNSIDE,ROSSLYN PARK,5,766100,4,787500,0.0279
BURNSIDE,SKYE,1,945000,,,
BURNSIDE,ST GEORGES,2,1318000,8,1280000,-0.0288
BURNSIDE,STONYFELL,4,1102500,3,800000,-0.2744
BURNSIDE,TOORAK GARDENS,6,1375000,4,1705000,0.24
BURNSIDE,TUSMORE,6,1225000,3,930000,-0.2408
BURNSIDE,WATERFALL GULLY,2,688500,,,
BURNSIDE,WATTLE PARK,4,980000,5,860000,-0.1224
CAMPBELLTOWN,ATHELSTONE,30,556100,34,500000,-0.1009
CAMPBELLTOWN,CAMPBELLTOWN,21,575000,27,534750,-0.07
CAMPBELLTOWN,HECTORVILLE,13,565000,7,650000,0.1504
CAMPBELLTOWN,MAGILL,35,677500,24,600000,-0.1144
CAMPBELLTOWN,NEWTON,15,490500,13,535500,0.0917
CAMPBELLTOWN,PARADISE,18,539000,16,539000,0
CAMPBELLTOWN,ROSTREVOR,32,612500,31,662500,0.0816
CAMPBELLTOWN,TRANMERE,19,817400,15,735000,-0.1008
CHARLES STURT,ALBERT PARK,8,433000,2,455000,0.0508
CHARLES STURT,ALLENBY GARDENS,7,525000,6,747500,0.4238
CHARLES STURT,ATHOL PARK,8,387500,4,365000,-0.0581
CHARLES STURT,BEVERLEY,5,500000,6,497500,-0.005
CHARLES STURT,BOWDEN,1,648000,,,
CHARLES STURT,BROMPTON,10,575000,6,528000,-0.0817
CHARLES STURT,CHELTENHAM,8,451500,7,495000,0.0963
CHARLES STURT,CROYDON,4,525000,3,740000,0.4095
CHARLES STURT,DEVON PARK,2,496500,2,417500,-0.1591
CHARLES STURT,FINDON,22,515000,18,512500,-0.0049
CHARLES STURT,FLINDERS PARK,18,561100,26,607500,0.0827
CHARLES STURT,FULHAM GARDENS,13,680000,13,657500,-0.0331
CHARLES STURT,GRANGE,16,666000,12,762500,0.1449
CHARLES STURT,HENDON,7,440000,6,387750,-0.1188
CHARLES STURT,HENLEY BEACH,14,843000,11,975000,0.1566
CHARLES STURT,HENLEY BEACH SOUTH,6,965000,11,927500,-0.0389
CHARLES STURT,HINDMARSH,1,470000,,,
CHARLES STURT,KIDMAN PARK,11,625000,12,630000,0.008
CHARLES STURT,KILKENNY,4,482500,4,455000,-0.057
CHARLES STURT,OVINGHAM,3,840000,2,693650,-0.1742
CHARLES STURT,PENNINGTON,10,426000,8,376000,-0.1174
CHARLES STURT,RENOWN PARK,4,428500,4,475000,0.1085
CHARLES STURT,RIDLEYTON,4,530000,3,585000,0.1038
CHARLES STURT,ROSEWATER,12,398000,15,410000,0.0302
CHARLES STURT,ROYAL PARK,12,442500,17,445000,0.0056
CHARLES STURT,SEATON,26,517500,29,526999,0.0184
CHARLES STURT,SEMAPHORE PARK,10,520000,9,580000,0.1154
CHARLES STURT,ST CLAIR,2,672500,4,775000,0.1524
CHARLES STURT,TENNYSON,2,2740000,6,1030000,-0.6241
CHARLES STURT,WELLAND,3,845000,,,
CHARLES STURT,WEST BEACH,13,691250,16,852500,0.2333
CHARLES STURT,WEST CROYDON,12,563750,4,545000,-0.0333
CHARLES STURT,WEST HINDMARSH,3,630000,,,
CHARLES STURT,WEST LAKES,17,712500,15,720000,0.0105
CHARLES STURT,WEST LAKES SHORE,11,628500,11,610000,-0.0294
CHARLES STURT,WOODVILLE,5,616000,8,637500,0.0349
CHARLES STURT,WOODVILLE NORTH,5,387000,5,450000,0.1628
CHARLES STURT,WOODVILLE PARK,6,615000,7,575000,-0.065
CHARLES STURT,WOODVILLE SOUTH,11,541000,9,585000,0.0813
CHARLES STURT,WOODVILLE WEST,7,530000,16,511250,-0.0354
GAWLER,BIBARINGA,,,,,
GAWLER,EVANSTON,13,350000,8,296000,-0.1543
GAWLER,EVANSTON GARDENS,4,360000,4,269000,-0.2528
GAWLER,EVANSTON PARK,26,374500,15,378500,0.0107
GAWLER,EVANSTON SOUTH,2,437930,3,440000,0.0047
GAWLER,GAWLER,3,385000,1,400000,0.039
GAWLER,GAWLER EAST,15,370000,29,427000,0.1541
GAWLER,GAWLER SOUTH,4,457500,6,323750,-0.2923
GAWLER,GAWLER WEST,1,375000,3,285000,-0.24
GAWLER,HILLIER,,,,,
GAWLER,KUDLA,,,,,
GAWLER,REID,1,350000,,,
GAWLER,ULEYBURY,,,,,
GAWLER,WILLASTON,15,294000,12,302000,0.0272
HOLDFAST BAY,BRIGHTON,9,707000,14,878000,0.2419
HOLDFAST BAY,GLENELG,,,1,920000,
HOLDFAST BAY,GLENELG EAST,7,876000,6,830500,-0.0519
HOLDFAST BAY,GLENELG NORTH,15,775000,23,750000,-0.0323
HOLDFAST BAY,GLENELG SOUTH,6,1390000,,,
HOLDFAST BAY,HOVE,10,677500,14,691500,0.0207
HOLDFAST BAY,KINGSTON PARK,4,675000,1,585000,-0.1333
HOLDFAST BAY,NORTH BRIGHTON,7,715000,7,825000,0.1538
HOLDFAST BAY,SEACLIFF,10,875000,2,806000,-0.0789
HOLDFAST BAY,SEACLIFF PARK,8,552500,6,569000,0.0299
HOLDFAST BAY,SOMERTON PARK,9,835000,23,1155000,0.3832
HOLDFAST BAY,SOUTH BRIGHTON,9,656250,11,580000,-0.1162
MARION,ASCOT PARK,7,511000,9,452254,-0.115
MARION,BEDFORD PARK,1,495000,5,405000,-0.1818
MARION,CLOVELLY PARK,7,566000,6,590000,0.0424
MARION,DARLINGTON,4,469500,2,395000,-0.1587
MARION,DOVER GARDENS,9,492500,8,547000,0.1107
MARION,EDWARDSTOWN,14,535000,22,532500,-0.0047
MARION,GLANDORE,12,680000,8,652500,-0.0404
MARION,GLENGOWRIE,12,730000,16,670000,-0.0822
MARION,HALLETT COVE,58,485000,52,477500,-0.0155
MARION,LONSDALE,,,,,
MARION,MARINO,9,704000,5,820000,0.1648
MARION,MARION,18,512500,22,485000,-0.0537
MARION,MITCHELL PARK,14,460000,17,494000,0.0739
MARION,MORPHETTVILLE,6,550000,3,532500,-0.0318
MARION,OAKLANDS PARK,11,479000,10,520000,0.0856
MARION,O'HALLORAN HILL,11,386000,9,373000,-0.0337
MARION,PARK HOLME,6,532500,10,533000,0.0009
MARION,PLYMPTON PARK,13,550000,11,570000,0.0364
MARION,SEACLIFF PARK,8,552500,6,569000,0.0299
MARION,SEACOMBE GARDENS,7,479000,10,501750,0.0475
MARION,SEACOMBE HEIGHTS,7,495500,4,519081,0.0476
MARION,SEAVIEW DOWNS,9,550000,13,507500,-0.0773
MARION,SHEIDOW PARK,22,428000,20,505000,0.1799
MARION,SOUTH PLYMPTON,14,528000,14,570000,0.0795
MARION,STURT,5,460000,8,500000,0.087
MARION,TONSLEY,,,,,
MARION,TROTT PARK,10,396000,8,437500,0.1048
MARION,WARRADALE,8,581500,24,612000,0.0525
MITCHAM,BEDFORD PARK,1,495000,5,405000,-0.1818
MITCHAM,BELAIR,14,585000,15,657500,0.1239
MITCHAM,BELLEVUE HEIGHTS,15,590000,12,529250,-0.103
MITCHAM,BLACKWOOD,14,500000,14,497500,-0.005
MITCHAM,BROWN HILL CREEK,,,,,
MITCHAM,CLAPHAM,5,637000,8,635000,-0.0031
MITCHAM,CLARENCE GARDENS,10,650000,3,668000,0.0277
MITCHAM,COLONEL LIGHT GARDENS,9,636000,9,762500,0.1989
MITCHAM,COROMANDEL VALLEY,17,590000,14,620000,0.0508
MITCHAM,CRAFERS WEST,5,600000,6,627750,0.0463
MITCHAM,CRAIGBURN FARM,11,690000,6,757500,0.0978
MITCHAM,CUMBERLAND PARK,7,715000,8,737750,0.0318
MITCHAM,DAW PARK,9,595500,7,681000,0.1436
MITCHAM,EDEN HILLS,11,575000,8,550000,-0.0435
MITCHAM,GLENALTA,6,585000,7,495000,-0.1538
MITCHAM,HAWTHORN,5,840000,6,1074000,0.2786
MITCHAM,HAWTHORNDENE,8,580000,6,537500,-0.0733
MITCHAM,KINGSWOOD,6,798000,6,1418000,0.7769
MITCHAM,LEAWOOD GARDENS,,,,,
MITCHAM,LOWER MITCHAM,9,753500,5,855000,0.1347
MITCHAM,LYNTON,3,640000,,,
MITCHAM,MELROSE PARK,10,700000,7,621000,-0.1129
MITCHAM,MITCHAM,3,1490000,7,1075000,-0.2785
MITCHAM,NETHERBY,6,1360000,4,1246525,-0.0834
MITCHAM,PANORAMA,8,652500,17,715000,0.0958
MITCHAM,PASADENA,10,602175,7,565000,-0.0617
MITCHAM,SPRINGFIELD,2,1365000,1,1655000,0.2125
MITCHAM,ST MARYS,17,470000,10,387000,-0.1766
MITCHAM,TORRENS PARK,5,980000,7,845000,-0.1378
MITCHAM,UPPER STURT,1,477500,5,507000,0.0618
MITCHAM,URRBRAE,4,850000,2,1132500,0.3324
MITCHAM,WESTBOURNE PARK,10,928250,5,945000,0.018
NORWOOD PAYNEHAM & ST PETERS,COLLEGE PARK,5,1383000,2,2255525,0.6309
NORWOOD PAYNEHAM & ST PETERS,EVANDALE,1,770000,3,880000,0.1429
NORWOOD PAYNEHAM & ST PETERS,FELIXSTOW,12,684688,8,667500,-0.0251
NORWOOD PAYNEHAM & ST PETERS,FIRLE,6,700000,,,
NORWOOD PAYNEHAM & ST PETERS,GLYNDE,3,760000,2,575000,-0.2434
NORWOOD PAYNEHAM & ST PETERS,HACKNEY,,,,,
NORWOOD PAYNEHAM & ST PETERS,HEATHPOOL,,,2,2342500,
NORWOOD PAYNEHAM & ST PETERS,JOSLIN,5,1196000,3,1160000,-0.0301
NORWOOD PAYNEHAM & ST PETERS,KENSINGTON,4,702500,2,684500,-0.0256
NORWOOD PAYNEHAM & ST PETERS,KENT TOWN,2,1642500,,,
NORWOOD PAYNEHAM & ST PETERS,MARDEN,10,630000,7,749999,0.1905
NORWOOD PAYNEHAM & ST PETERS,MARRYATVILLE,5,850000,,,
NORWOOD PAYNEHAM & ST PETERS,MAYLANDS,3,831000,1,740000,-0.1095
NORWOOD PAYNEHAM & ST PETERS,NORWOOD,11,1090000,13,915000,-0.1606
NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM,5,650000,4,605000,-0.0692
NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM SOUTH,3,655000,2,742500,0.1336
NORWOOD PAYNEHAM & ST PETERS,ROYSTON PARK,3,1000000,4,1160000,0.16
NORWOOD PAYNEHAM & ST PETERS,ST MORRIS,3,860000,2,793750,-0.077
NORWOOD PAYNEHAM & ST PETERS,ST PETERS,8,1340000,10,1463000,0.0918
NORWOOD PAYNEHAM & ST PETERS,STEPNEY,2,605500,4,872500,0.441
NORWOOD PAYNEHAM & ST PETERS,TRINITY GARDENS,2,932250,1,1250000,0.3408
ONKAPARINGA,ABERFOYLE PARK,36,462000,28,450000,-0.026
ONKAPARINGA,ALDINGA,1,550000,2,340000,-0.3818
ONKAPARINGA,ALDINGA BEACH,59,345000,51,356250,0.0326
ONKAPARINGA,BLEWITT SPRINGS,,,,,
ONKAPARINGA,CHANDLERS HILL,2,723750,1,506500,-0.3002
ONKAPARINGA,CHERRY GARDENS,,,,,
ONKAPARINGA,CHRISTIE DOWNS,22,267000,13,279000,0.0449
ONKAPARINGA,CHRISTIES BEACH,23,394650,32,374000,-0.0523
ONKAPARINGA,CLARENDON,,,1,520000,
ONKAPARINGA,COROMANDEL EAST,,,,,
ONKAPARINGA,COROMANDEL VALLEY,17,590000,14,620000,0.0508
ONKAPARINGA,CRAIGBURN FARM,11,690000,6,757500,0.0978
ONKAPARINGA,DARLINGTON,4,469500,2,395000,-0.1587
ONKAPARINGA,DORSET VALE,,,,,
ONKAPARINGA,FLAGSTAFF HILL,35,482000,30,510000,0.0581
ONKAPARINGA,HACKHAM,11,312500,16,293250,-0.0616
ONKAPARINGA,HACKHAM WEST,11,265000,7,295000,0.1132
