Number ID,City,Suburb,Sales Q1 2021,Median Q1 2021,Sales Q2 2021,Median Q2 2021,Sales Q3 2021,Median Q3 2021,Sales Q4 2021,Median Q4 2021,2021 Sales
0,ADELAIDE,ADELAIDE,8.0,1013000.0,4.0,1300000.0,5.0,1012500.0,7.0,1400000.0,24.0
1,ADELAIDE,NORTH ADELAIDE,13.0,1410000.0,10.0,1608000.0,9.0,1250000.0,10.0,1247500.0,42.0
2,ADELAIDE HILLS,ALDGATE,14.0,875000.0,18.0,971000.0,15.0,875000.0,14.0,1287500.0,61.0
3,ADELAIDE HILLS,ASHTON,1.0,940000.0,2.0,530000.0,1.0,765000.0,0.0,0.0,4.0
4,ADELAIDE HILLS,BASKET RANGE,1.0,725000.0,1.0,800000.0,0.0,0.0,0.0,0.0,2.0
5,ADELAIDE HILLS,BELAIR,15.0,810000.0,19.0,910000.0,18.0,815000.0,22.0,950000.0,74.0
6,ADELAIDE HILLS,BRADBURY,0.0,0.0,1.0,678200.0,0.0,0.0,0.0,0.0,1.0
7,ADELAIDE HILLS,BRIDGEWATER,19.0,585000.0,25.0,622000.0,13.0,974100.0,20.0,742500.0,77.0
8,ADELAIDE HILLS,CAREY GULLY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,790000.0,1.0
12,ADELAIDE HILLS,CRAFERS,12.0,848000.0,7.0,891000.0,5.0,835000.0,7.0,1221000.0,31.0
13,ADELAIDE HILLS,CRAFERS WEST,4.0,702500.0,11.0,678500.0,5.0,847250.0,5.0,1056000.0,25.0
15,ADELAIDE HILLS,GREENHILL,4.0,751000.0,2.0,850000.0,4.0,1356000.0,3.0,831000.0,13.0
16,ADELAIDE HILLS,HEATHFIELD,3.0,887500.0,5.0,945250.0,3.0,860000.0,0.0,0.0,11.0
19,ADELAIDE HILLS,IRONBANK,1.0,580000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,ADELAIDE HILLS,LONGWOOD,1.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,ADELAIDE HILLS,MYLOR,0.0,0.0,1.0,628000.0,0.0,0.0,2.0,907500.0,3.0
25,ADELAIDE HILLS,NORTON SUMMIT,0.0,0.0,3.0,1100000.0,0.0,0.0,0.0,0.0,3.0
26,ADELAIDE HILLS,PICCADILLY,3.0,589750.0,0.0,0.0,0.0,0.0,1.0,880000.0,4.0
27,ADELAIDE HILLS,ROSTREVOR,33.0,668800.0,36.0,746250.0,42.0,755000.0,36.0,897500.0,147.0
29,ADELAIDE HILLS,STIRLING,13.0,865000.0,16.0,880000.0,3.0,1340000.0,17.0,1061000.0,49.0
30,ADELAIDE HILLS,STONYFELL,4.0,1220094.0,5.0,1400000.0,4.0,1123750.0,6.0,1625000.0,19.0
31,ADELAIDE HILLS,SUMMERTOWN,1.0,712500.0,1.0,970000.0,0.0,0.0,5.0,900000.0,7.0
32,ADELAIDE HILLS,TERINGIE,5.0,830000.0,4.0,770000.0,2.0,1240000.0,3.0,830000.0,14.0
33,ADELAIDE HILLS,UPPER STURT,6.0,671500.0,3.0,692000.0,2.0,673000.0,2.0,732250.0,13.0
34,ADELAIDE HILLS,URAIDLA,0.0,0.0,2.0,860593.0,2.0,796944.0,0.0,0.0,4.0
35,ADELAIDE HILLS,WATERFALL GULLY,0.0,0.0,1.0,550000.0,0.0,0.0,0.0,0.0,1.0
36,ADELAIDE HILLS,WOODFORDE,3.0,930000.0,3.0,740000.0,6.0,930000.0,4.0,1650000.0,16.0
37,BURNSIDE,AULDANA,1.0,1155000.0,7.0,1250000.0,3.0,1620000.0,1.0,1400000.0,12.0
38,BURNSIDE,BEAUMONT,9.0,1200000.0,12.0,1200000.0,15.0,1742000.0,16.0,1605000.0,52.0
39,BURNSIDE,BEULAH PARK,2.0,1087500.0,8.0,987500.0,5.0,977500.0,6.0,1192500.0,21.0
40,BURNSIDE,BURNSIDE,12.0,1107500.0,7.0,1200000.0,10.0,1000000.0,20.0,1522000.0,49.0
41,BURNSIDE,DULWICH,3.0,1260000.0,9.0,1450000.0,6.0,1565000.0,5.0,1950000.0,23.0
42,BURNSIDE,EASTWOOD,4.0,847500.0,3.0,1175000.0,3.0,1000000.0,1.0,805000.0,11.0
43,BURNSIDE,ERINDALE,1.0,1250000.0,3.0,1125000.0,4.0,1353000.0,7.0,1520000.0,15.0
44,BURNSIDE,FREWVILLE,3.0,945000.0,1.0,1130000.0,1.0,970000.0,4.0,1507444.0,9.0
45,BURNSIDE,GLEN OSMOND,7.0,1050000.0,10.0,1428000.0,7.0,1185000.0,6.0,1280665.0,30.0
46,BURNSIDE,GLENSIDE,4.0,1188500.0,2.0,1275000.0,8.0,1325000.0,7.0,2150000.0,21.0
47,BURNSIDE,GLENUNGA,6.0,1100000.0,7.0,1460000.0,9.0,1500000.0,10.0,1600000.0,32.0
48,BURNSIDE,HAZELWOOD PARK,4.0,1235000.0,8.0,1295000.0,7.0,1250000.0,5.0,1700000.0,24.0
