Number ID,City,Suburb,Sales Q1 2020,Median Q1 2020,Sales Q2 2020,Median Q2 2020,Sales Q3 2020,Median Q3 2020,Sales Q4 2020,Median Q4 2020,2020 Sales
0,ADELAIDE,ADELAIDE,6.0,810000.0,11.0,850000.0,3.0,671000.0,3.0,864750.0,23.0
1,ADELAIDE,NORTH ADELAIDE,15.0,1360000.0,6.0,945000.0,8.0,1025000.0,7.0,1600000.0,36.0
2,ADELAIDE HILLS,ALDGATE,10.0,797500.0,9.0,795000.0,11.0,730000.0,19.0,863750.0,49.0
4,ADELAIDE HILLS,BASKET RANGE,0.0,0.0,1.0,616000.0,0.0,0.0,0.0,0.0,1.0
5,ADELAIDE HILLS,BELAIR,13.0,775000.0,12.0,672500.0,16.0,665000.0,22.0,668000.0,63.0
6,ADELAIDE HILLS,BRADBURY,0.0,0.0,0.0,0.0,1.0,412000.0,0.0,0.0,1.0
7,ADELAIDE HILLS,BRIDGEWATER,13.0,505000.0,11.0,485000.0,17.0,525000.0,17.0,508500.0,58.0
8,ADELAIDE HILLS,CAREY GULLY,1.0,970000.0,1.0,630000.0,0.0,0.0,0.0,0.0,2.0
10,ADELAIDE HILLS,CHERRYVILLE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,610000.0,1.0
12,ADELAIDE HILLS,CRAFERS,7.0,795000.0,11.0,810000.0,3.0,602000.0,12.0,722500.0,33.0
13,ADELAIDE HILLS,CRAFERS WEST,5.0,935000.0,4.0,602500.0,4.0,947500.0,3.0,650000.0,16.0
15,ADELAIDE HILLS,GREENHILL,2.0,699000.0,1.0,430000.0,1.0,600000.0,4.0,687500.0,8.0
16,ADELAIDE HILLS,HEATHFIELD,1.0,580000.0,2.0,420000.0,0.0,0.0,8.0,728650.0,11.0
19,ADELAIDE HILLS,IRONBANK,0.0,0.0,0.0,0.0,1.0,937000.0,0.0,0.0,1.0
20,ADELAIDE HILLS,LONGWOOD,0.0,0.0,0.0,0.0,1.0,570000.0,1.0,750000.0,2.0
21,ADELAIDE HILLS,MARBLE HILL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650000.0,1.0
24,ADELAIDE HILLS,MYLOR,1.0,435000.0,0.0,0.0,0.0,0.0,1.0,645000.0,2.0
25,ADELAIDE HILLS,NORTON SUMMIT,0.0,0.0,1.0,560000.0,2.0,706000.0,2.0,762500.0,5.0
26,ADELAIDE HILLS,PICCADILLY,0.0,0.0,0.0,0.0,0.0,0.0,2.0,570000.0,2.0
27,ADELAIDE HILLS,ROSTREVOR,36.0,628250.0,22.0,690000.0,24.0,662500.0,34.0,650000.0,116.0
28,ADELAIDE HILLS,SCOTT CREEK,1.0,675000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,ADELAIDE HILLS,STIRLING,12.0,737500.0,14.0,872500.0,14.0,857500.0,10.0,867500.0,50.0
30,ADELAIDE HILLS,STONYFELL,2.0,920000.0,7.0,1048888.0,3.0,925000.0,6.0,870000.0,18.0
31,ADELAIDE HILLS,SUMMERTOWN,0.0,0.0,1.0,700000.0,3.0,600000.0,1.0,535000.0,5.0
32,ADELAIDE HILLS,TERINGIE,1.0,695000.0,2.0,764500.0,0.0,0.0,1.0,851000.0,4.0
33,ADELAIDE HILLS,UPPER STURT,4.0,515000.0,2.0,670000.0,3.0,790000.0,3.0,680000.0,12.0
34,ADELAIDE HILLS,URAIDLA,1.0,550000.0,1.0,815000.0,5.0,537000.0,3.0,585000.0,10.0
35,ADELAIDE HILLS,WATERFALL GULLY,0.0,0.0,0.0,0.0,2.0,953500.0,0.0,0.0,2.0
36,ADELAIDE HILLS,WOODFORDE,2.0,684500.0,0.0,0.0,2.0,737500.0,3.0,497000.0,7.0
37,BURNSIDE,AULDANA,0.0,0.0,1.0,2860000.0,3.0,1060000.0,2.0,1072500.0,6.0
38,BURNSIDE,BEAUMONT,7.0,880000.0,12.0,950000.0,8.0,917500.0,15.0,1150000.0,42.0
39,BURNSIDE,BEULAH PARK,5.0,850000.0,11.0,1006000.0,5.0,790000.0,6.0,858500.0,27.0
40,BURNSIDE,BURNSIDE,10.0,1110000.0,6.0,758750.0,8.0,825000.0,13.0,924000.0,37.0
41,BURNSIDE,DULWICH,6.0,1130000.0,4.0,998500.0,4.0,980000.0,3.0,1750000.0,17.0
42,BURNSIDE,EASTWOOD,1.0,671000.0,0.0,0.0,0.0,0.0,1.0,960000.0,2.0
43,BURNSIDE,ERINDALE,6.0,1080000.0,3.0,1170000.0,4.0,1529000.0,2.0,1122500.0,15.0
44,BURNSIDE,FREWVILLE,1.0,962500.0,4.0,947500.0,0.0,0.0,0.0,0.0,5.0
45,BURNSIDE,GLEN OSMOND,6.0,941000.0,9.0,906000.0,8.0,948000.0,3.0,1312944.0,26.0
46,BURNSIDE,GLENSIDE,7.0,845500.0,3.0,1076500.0,5.0,937500.0,3.0,972000.0,18.0
47,BURNSIDE,GLENUNGA,6.0,1180000.0,6.0,1051888.0,3.0,1145000.0,6.0,1224000.0,21.0
48,BURNSIDE,HAZELWOOD PARK,11.0,1150000.0,8.0,1202500.0,8.0,831250.0,8.0,935557.0,35.0
50,BURNSIDE,KENSINGTON GARDENS,8.0,1010000.0,7.0,966250.0,8.0,1065500.0,2.0,1394000.0,25.0
51,BURNSIDE,KENSINGTON PARK,4.0,866000.0,2.0,948000.0,7.0,1080000.0,10.0,1200000.0,23.0
52,BURNSIDE,LEABROOK,2.0,1450000.0,1.0,1080000.0,6.0,1020000.0,1.0,2600000.0,10.0
54,BURNSIDE,LINDEN PARK,7.0,955000.0,5.0,850000.0,3.0,780000.0,8.0,927500.0,23.0
55,BURNSIDE,MAGILL,31.0,633500.0,23.0,775000.0,37.0,690000.0,38.0,650000.0,129.0
56,BURNSIDE,MOUNT OSMOND,4.0,890000.0,3.0,860000.0,2.0,837500.0,1.0,950000.0,10.0
57,BURNSIDE,ROSE PARK,2.0,1445000.0,1.0,860000.0,2.0,2190000.0,0.0,0.0,5.0
58,BURNSIDE,ROSSLYN PARK,1.0,1950000.0,4.0,915000.0,4.0,984500.0,9.0,957500.0,18.0
59,BURNSIDE,SKYE,1.0,853000.0,0.0,0.0,2.0,1203500.0,0.0,0.0,3.0
60,BURNSIDE,ST GEORGES,4.0,1060000.0,6.0,1140000.0,14.0,1165000.0,4.0,1390000.0,28.0
61,BURNSIDE,STONYFELL,2.0,920000.0,7.0,1048888.0,3.0,925000.0,6.0,870000.0,18.0
62,BURNSIDE,TOORAK GARDENS,2.0,1982500.0,14.0,1425000.0,8.0,1550000.0,10.0,1720000.0,34.0
63,BURNSIDE,TUSMORE,7.0,1430000.0,5.0,1268000.0,3.0,1115000.0,3.0,1432000.0,18.0
64,BURNSIDE,WATERFALL GULLY,0.0,0.0,0.0,0.0,2.0,953500.0,0.0,0.0,2.0
65,BURNSIDE,WATTLE PARK,5.0,780000.0,7.0,950000.0,3.0,775000.0,7.0,844000.0,22.0
66,CAMPBELLTOWN,ATHELSTONE,27.0,570000.0,33.0,590000.0,31.0,550000.0,39.0,590500.0,130.0
67,CAMPBELLTOWN,CAMPBELLTOWN,28.0,526750.0,27.0,546000.0,23.0,565000.0,34.0,550000.0,112.0
68,CAMPBELLTOWN,HECTORVILLE,6.0,602000.0,10.0,566000.0,10.0,553750.0,18.0,620000.0,44.0
69,CAMPBELLTOWN,MAGILL,31.0,633500.0,23.0,775000.0,37.0,690000.0,38.0,650000.0,129.0
70,CAMPBELLTOWN,NEWTON,8.0,522500.0,13.0,570000.0,21.0,549500.0,25.0,543000.0,67.0
71,CAMPBELLTOWN,PARADISE,13.0,518000.0,13.0,477500.0,26.0,600000.0,33.0,575000.0,85.0
72,CAMPBELLTOWN,ROSTREVOR,36.0,628250.0,22.0,690000.0,24.0,662500.0,34.0,650000.0,116.0
73,CAMPBELLTOWN,TRANMERE,11.0,710000.0,17.0,680000.0,6.0,650000.0,13.0,720000.0,47.0
74,CHARLES STURT,ALBERT PARK,6.0,473500.0,9.0,450000.0,3.0,448500.0,8.0,525000.0,26.0
75,CHARLES STURT,ALLENBY GARDENS,5.0,665000.0,4.0,890000.0,5.0,743000.0,3.0,630000.0,17.0
76,CHARLES STURT,ATHOL PARK,4.0,410000.0,6.0,414000.0,2.0,446000.0,11.0,445000.0,23.0
77,CHARLES STURT,BEVERLEY,4.0,470250.0,8.0,470000.0,6.0,520000.0,6.0,480000.0,24.0
78,CHARLES STURT,BOWDEN,1.0,600000.0,2.0,586000.0,5.0,569000.0,2.0,606500.0,10.0
79,CHARLES STURT,BROMPTON,4.0,588500.0,5.0,580000.0,11.0,595000.0,11.0,571750.0,31.0
80,CHARLES STURT,CHELTENHAM,5.0,452500.0,2.0,471000.0,3.0,700000.0,6.0,561500.0,16.0
81,CHARLES STURT,CROYDON,4.0,691000.0,2.0,615000.0,3.0,645000.0,5.0,751000.0,14.0
82,CHARLES STURT,DEVON PARK,2.0,520000.0,4.0,568000.0,3.0,475000.0,5.0,535000.0,14.0
83,CHARLES STURT,FINDON,18.0,550000.0,14.0,560000.0,13.0,570000.0,17.0,560000.0,62.0
84,CHARLES STURT,FLINDERS PARK,18.0,636250.0,20.0,560000.0,23.0,577500.0,24.0,625000.0,85.0
85,CHARLES STURT,FULHAM GARDENS,14.0,660000.0,13.0,725000.0,19.0,745000.0,23.0,725000.0,69.0
86,CHARLES STURT,GRANGE,15.0,722000.0,20.0,848500.0,23.0,775000.0,5.0,745000.0,63.0
87,CHARLES STURT,HENDON,3.0,313000.0,2.0,480000.0,4.0,465000.0,4.0,470000.0,13.0
88,CHARLES STURT,HENLEY BEACH,18.0,951500.0,16.0,926500.0,14.0,1020000.0,19.0,893500.0,67.0
89,CHARLES STURT,HENLEY BEACH SOUTH,5.0,1035000.0,4.0,837500.0,6.0,1012500.0,15.0,902500.0,30.0
91,CHARLES STURT,KIDMAN PARK,5.0,609000.0,14.0,627500.0,14.0,580000.0,12.0,657000.0,45.0
92,CHARLES STURT,KILKENNY,3.0,572000.0,7.0,515500.0,2.0,528500.0,6.0,545000.0,18.0
93,CHARLES STURT,OVINGHAM,0.0,0.0,1.0,702000.0,0.0,0.0,1.0,795000.0,2.0
94,CHARLES STURT,PENNINGTON,8.0,431750.0,8.0,471500.0,15.0,450000.0,8.0,495000.0,39.0
95,CHARLES STURT,RENOWN PARK,4.0,535000.0,4.0,497500.0,4.0,558500.0,6.0,511000.0,18.0
96,CHARLES STURT,RIDLEYTON,2.0,559300.0,3.0,560000.0,4.0,532000.0,5.0,562500.0,14.0
97,CHARLES STURT,ROSEWATER,12.0,393000.0,8.0,481750.0,21.0,395000.0,15.0,425000.0,56.0
98,CHARLES STURT,ROYAL PARK,11.0,403000.0,9.0,480000.0,8.0,450000.0,15.0,448000.0,43.0
99,CHARLES STURT,SEATON,40.0,526750.0,28.0,540000.0,30.0,545000.0,35.0,604000.0,133.0
100,CHARLES STURT,SEMAPHORE PARK,12.0,585000.0,8.0,535000.0,14.0,560000.0,20.0,577000.0,54.0
101,CHARLES STURT,ST CLAIR,10.0,485000.0,8.0,452500.0,8.0,528250.0,7.0,590000.0,33.0
102,CHARLES STURT,TENNYSON,2.0,2597500.0,1.0,975000.0,6.0,1320000.0,4.0,1550000.0,13.0
103,CHARLES STURT,WELLAND,4.0,557500.0,0.0,0.0,2.0,493000.0,3.0,549000.0,9.0
104,CHARLES STURT,WEST BEACH,15.0,872500.0,10.0,932500.0,16.0,805000.0,19.0,875000.0,60.0
105,CHARLES STURT,WEST CROYDON,11.0,616500.0,13.0,579250.0,13.0,595000.0,13.0,589500.0,50.0
106,CHARLES STURT,WEST HINDMARSH,0.0,0.0,4.0,505000.0,8.0,608750.0,4.0,618750.0,16.0
107,CHARLES STURT,WEST LAKES,14.0,785000.0,11.0,814000.0,9.0,827500.0,21.0,805000.0,55.0
108,CHARLES STURT,WEST LAKES SHORE,13.0,765000.0,9.0,660000.0,11.0,718000.0,14.0,705000.0,47.0
109,CHARLES STURT,WOODVILLE,2.0,750000.0,6.0,695000.0,4.0,741600.0,5.0,818100.0,17.0
110,CHARLES STURT,WOODVILLE NORTH,6.0,472000.0,5.0,431000.0,5.0,461000.0,4.0,513500.0,20.0
111,CHARLES STURT,WOODVILLE PARK,6.0,571995.0,5.0,810000.0,6.0,555000.0,3.0,675000.0,20.0
112,CHARLES STURT,WOODVILLE SOUTH,9.0,686000.0,8.0,550000.0,21.0,576250.0,15.0,638000.0,53.0
113,CHARLES STURT,WOODVILLE WEST,16.0,513500.0,9.0,595000.0,13.0,510000.0,9.0,537500.0,47.0
115,GAWLER,EVANSTON,10.0,285808.0,14.0,287000.0,6.0,358300.0,11.0,310000.0,41.0
116,GAWLER,EVANSTON GARDENS,6.0,303000.0,9.0,340000.0,13.0,327500.0,15.0,349000.0,43.0
117,GAWLER,EVANSTON PARK,15.0,367500.0,11.0,341500.0,12.0,361000.0,24.0,372375.0,62.0
118,GAWLER,EVANSTON SOUTH,2.0,334000.0,2.0,424000.0,2.0,400000.0,1.0,520000.0,7.0
119,GAWLER,GAWLER,2.0,352250.0,0.0,0.0,3.0,302500.0,4.0,367000.0,9.0
120,GAWLER,GAWLER EAST,26.0,345000.0,24.0,347500.0,18.0,367500.0,24.0,381500.0,92.0
121,GAWLER,GAWLER SOUTH,12.0,446000.0,11.0,380000.0,9.0,320500.0,12.0,415000.0,44.0
122,GAWLER,GAWLER WEST,2.0,253750.0,4.0,323750.0,2.0,217500.0,6.0,261750.0,14.0
123,GAWLER,HILLIER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410000.0,1.0
125,GAWLER,REID,0.0,0.0,1.0,380000.0,1.0,336000.0,2.0,382500.0,4.0
127,GAWLER,WILLASTON,14.0,270000.0,9.0,347500.0,14.0,337500.0,16.0,295000.0,53.0
128,HOLDFAST BAY,BRIGHTON,7.0,724000.0,7.0,645000.0,7.0,574500.0,5.0,840000.0,26.0
129,HOLDFAST BAY,GLENELG,1.0,1350000.0,1.0,775000.0,4.0,1020500.0,4.0,1165000.0,10.0
130,HOLDFAST BAY,GLENELG EAST,6.0,777500.0,10.0,940000.0,5.0,970000.0,10.0,950500.0,31.0
131,HOLDFAST BAY,GLENELG NORTH,16.0,760000.0,14.0,700000.0,11.0,740000.0,12.0,1005000.0,53.0
132,HOLDFAST BAY,GLENELG SOUTH,1.0,1170000.0,3.0,1280000.0,0.0,0.0,3.0,1316000.0,7.0
133,HOLDFAST BAY,HOVE,7.0,860000.0,6.0,1002500.0,10.0,752500.0,6.0,640000.0,29.0
134,HOLDFAST BAY,KINGSTON PARK,0.0,0.0,2.0,975000.0,1.0,630000.0,4.0,873000.0,7.0
135,HOLDFAST BAY,NORTH BRIGHTON,14.0,625000.0,5.0,650000.0,3.0,655000.0,11.0,885000.0,33.0
136,HOLDFAST BAY,SEACLIFF,10.0,655000.0,5.0,840000.0,7.0,1182500.0,6.0,655000.0,28.0
137,HOLDFAST BAY,SEACLIFF PARK,10.0,500000.0,8.0,771622.0,4.0,620000.0,9.0,621000.0,31.0
