Number ID,City,Suburb,Sales Q1 2015,Median Q1 2015,Sales Q2 2015,Median Q2 2015,Sales Q3 2015,Median Q3 2015,Sales Q4 2015,Median Q4 2015,2015 Sales
0,ADELAIDE            ,ADELAIDE             ,6.0,757500.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1,ADELAIDE            ,NORTH ADELAIDE       ,4.0,992500.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2,ADELAIDE HILLS      ,ALDGATE              ,17.0,685000.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
4,ADELAIDE HILLS      ,BALHANNAH            ,9.0,439000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
5,ADELAIDE HILLS      ,BASKET RANGE         ,1.0,951000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,ADELAIDE HILLS      ,BELAIR               ,18.0,595000.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
7,ADELAIDE HILLS      ,BIRDWOOD             ,3.0,425000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,ADELAIDE HILLS      ,BRADBURY             ,1.0,505000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,ADELAIDE HILLS      ,BRIDGEWATER          ,12.0,405500.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
10,ADELAIDE HILLS      ,CAREY GULLY          ,1.0,530000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,ADELAIDE HILLS      ,CHARLESTON           ,1.0,435000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,ADELAIDE HILLS      ,CRAFERS              ,5.0,565000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
16,ADELAIDE HILLS      ,CRAFERS WEST         ,3.0,577000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20,ADELAIDE HILLS      ,FOREST RANGE         ,1.0,370000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,ADELAIDE HILLS      ,GREENHILL            ,2.0,605250.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
23,ADELAIDE HILLS      ,GUMERACHA            ,2.0,407500.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,ADELAIDE HILLS      ,HAHNDORF             ,6.0,590000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
25,ADELAIDE HILLS      ,HEATHFIELD           ,3.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
30,ADELAIDE HILLS      ,KERSBROOK            ,4.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
31,ADELAIDE HILLS      ,LENSWOOD             ,1.0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,ADELAIDE HILLS      ,LITTLEHAMPTON        ,19.0,452500.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
33,ADELAIDE HILLS      ,LOBETHAL             ,5.0,299950.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
