Number ID,City,Suburb,Sales Q1 2019,Median Q1 2019,Sales Q2 2019,Median Q2 2019,Sales Q3 2019,Median Q3 2019,Sales Q4 2019,Median Q4 2019,2019 Sales
0,ADELAIDE,ADELAIDE,4.0,1002500.0,4.0,677500.0,4.0,775000.0,4.0,770117.0,16.0
1,ADELAIDE,NORTH ADELAIDE,10.0,972000.0,6.0,1634250.0,12.0,1170000.0,10.0,1352500.0,38.0
2,ADELAIDE HILLS,ALDGATE,16.0,830000.0,15.0,950000.0,9.0,697500.0,14.0,753250.0,54.0
4,ADELAIDE HILLS,BASKET RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,375000.0,1.0
5,ADELAIDE HILLS,BELAIR,15.0,657500.0,17.0,541250.0,18.0,629000.0,12.0,775506.0,62.0
7,ADELAIDE HILLS,BRIDGEWATER,14.0,568750.0,20.0,483500.0,20.0,505250.0,15.0,515000.0,69.0
8,ADELAIDE HILLS,CAREY GULLY,1.0,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,ADELAIDE HILLS,CHERRYVILLE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,618500.0,1.0
12,ADELAIDE HILLS,CRAFERS,8.0,732500.0,8.0,805000.0,4.0,641000.0,13.0,637500.0,33.0
13,ADELAIDE HILLS,CRAFERS WEST,6.0,627750.0,5.0,600000.0,2.0,805000.0,8.0,957500.0,21.0
15,ADELAIDE HILLS,GREENHILL,4.0,574000.0,0.0,0.0,1.0,443000.0,4.0,728000.0,9.0
16,ADELAIDE HILLS,HEATHFIELD,4.0,718000.0,2.0,950000.0,2.0,625000.0,5.0,600000.0,13.0
20,ADELAIDE HILLS,LONGWOOD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,605000.0,1.0
21,ADELAIDE HILLS,MARBLE HILL,1.0,620000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,ADELAIDE HILLS,MOUNT GEORGE,1.0,563000.0,1.0,705000.0,0.0,0.0,2.0,615000.0,4.0
24,ADELAIDE HILLS,MYLOR,1.0,600000.0,2.0,656500.0,0.0,0.0,0.0,0.0,3.0
25,ADELAIDE HILLS,NORTON SUMMIT,1.0,630000.0,0.0,0.0,1.0,504000.0,0.0,0.0,2.0
26,ADELAIDE HILLS,PICCADILLY,1.0,775000.0,1.0,572315.0,1.0,440000.0,2.0,565000.0,5.0
27,ADELAIDE HILLS,ROSTREVOR,31.0,662500.0,33.0,600000.0,25.0,620000.0,32.0,600000.0,121.0
29,ADELAIDE HILLS,STIRLING,5.0,792558.0,16.0,705000.0,9.0,878750.0,15.0,842500.0,45.0
30,ADELAIDE HILLS,STONYFELL,3.0,800000.0,12.0,925000.0,2.0,1200000.0,5.0,1100000.0,22.0
31,ADELAIDE HILLS,SUMMERTOWN,3.0,720000.0,0.0,0.0,2.0,530000.0,1.0,761000.0,6.0
32,ADELAIDE HILLS,TERINGIE,2.0,657500.0,3.0,726000.0,2.0,669500.0,4.0,767500.0,11.0
33,ADELAIDE HILLS,UPPER STURT,5.0,507000.0,0.0,0.0,2.0,603000.0,4.0,507500.0,11.0
34,ADELAIDE HILLS,URAIDLA,1.0,670000.0,1.0,665000.0,2.0,621508.0,2.0,538500.0,6.0
35,ADELAIDE HILLS,WATERFALL GULLY,0.0,0.0,1.0,820750.0,0.0,0.0,0.0,0.0,1.0
36,ADELAIDE HILLS,WOODFORDE,2.0,1005000.0,2.0,755000.0,2.0,589500.0,5.0,727500.0,11.0
37,BURNSIDE,AULDANA,1.0,2460000.0,2.0,935000.0,0.0,0.0,5.0,955000.0,8.0
38,BURNSIDE,BEAUMONT,7.0,955000.0,14.0,892500.0,7.0,1076500.0,9.0,1140000.0,37.0
39,BURNSIDE,BEULAH PARK,6.0,918000.0,6.0,875000.0,9.0,690000.0,4.0,740060.0,25.0
40,BURNSIDE,BURNSIDE,6.0,1000000.0,4.0,875500.0,11.0,992500.0,14.0,870000.0,35.0
41,BURNSIDE,DULWICH,3.0,1250000.0,5.0,1192500.0,6.0,1170000.0,2.0,885000.0,16.0
42,BURNSIDE,EASTWOOD,0.0,0.0,3.0,615000.0,0.0,0.0,2.0,823500.0,5.0
43,BURNSIDE,ERINDALE,5.0,1275000.0,2.0,1096250.0,2.0,1085000.0,7.0,1090250.0,16.0
44,BURNSIDE,FREWVILLE,2.0,687444.0,3.0,950000.0,1.0,1260000.0,1.0,1020000.0,7.0
45,BURNSIDE,GLEN OSMOND,8.0,1280000.0,5.0,770000.0,4.0,1084000.0,4.0,1012500.0,21.0
46,BURNSIDE,GLENSIDE,3.0,1225000.0,25.0,930000.0,5.0,1000000.0,7.0,1007950.0,40.0
47,BURNSIDE,GLENUNGA,8.0,1045400.0,6.0,1330000.0,3.0,1077750.0,5.0,941500.0,22.0
48,BURNSIDE,HAZELWOOD PARK,3.0,905000.0,4.0,878250.0,2.0,942500.0,6.0,910000.0,15.0
50,BURNSIDE,KENSINGTON GARDENS,7.0,1160000.0,8.0,1190000.0,5.0,940000.0,8.0,990000.0,28.0
51,BURNSIDE,KENSINGTON PARK,5.0,1225000.0,5.0,970000.0,6.0,745000.0,6.0,894000.0,22.0
52,BURNSIDE,LEABROOK,3.0,1951000.0,3.0,1136000.0,1.0,1480000.0,4.0,1700000.0,11.0
53,BURNSIDE,LEAWOOD GARDENS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1211000.0,1.0
54,BURNSIDE,LINDEN PARK,8.0,920000.0,5.0,840000.0,9.0,888000.0,10.0,1020944.0,32.0
55,BURNSIDE,MAGILL,24.0,600000.0,27.0,653000.0,26.0,685000.0,31.0,648000.0,108.0
56,BURNSIDE,MOUNT OSMOND,4.0,1250000.0,2.0,750000.0,3.0,780000.0,2.0,920000.0,11.0
57,BURNSIDE,ROSE PARK,0.0,0.0,4.0,1800500.0,2.0,1650000.0,3.0,1500000.0,9.0
58,BURNSIDE,ROSSLYN PARK,4.0,787500.0,2.0,893500.0,4.0,835000.0,3.0,915000.0,13.0
59,BURNSIDE,SKYE,0.0,0.0,0.0,0.0,1.0,818000.0,2.0,959000.0,3.0
60,BURNSIDE,ST GEORGES,8.0,1280000.0,7.0,1380000.0,2.0,1320000.0,6.0,919000.0,23.0
61,BURNSIDE,STONYFELL,3.0,800000.0,12.0,925000.0,2.0,1200000.0,5.0,1100000.0,22.0
62,BURNSIDE,TOORAK GARDENS,4.0,1705000.0,11.0,1330000.0,2.0,1606500.0,5.0,1450000.0,22.0
63,BURNSIDE,TUSMORE,3.0,930000.0,3.0,1863500.0,0.0,0.0,5.0,1147500.0,11.0
