Number ID,City,Suburb,Sales Q1 2018,Median Q1 2018,Sales Q2 2018,Median Q2 2018,Sales Q3 2018,Median Q3 2018,Sales Q4 2018,Median Q4 2018,2018 Sales
0,ADELAIDE,ADELAIDE,5.0,861000.0,5.0,696000.0,1.0,960000.0,4.0,1660750.0,15.0
1,ADELAIDE,NORTH ADELAIDE,2.0,2195500.0,6.0,1510000.0,9.0,1520000.0,9.0,1395000.0,26.0
2,ADELAIDE HILLS,ALDGATE,17.0,696000.0,15.0,820000.0,6.0,770000.0,9.0,747500.0,47.0
3,ADELAIDE HILLS,ASHTON,3.0,681200.0,1.0,505000.0,1.0,600000.0,0.0,0.0,5.0
4,ADELAIDE HILLS,BASKET RANGE,0.0,0.0,1.0,532500.0,0.0,0.0,1.0,640000.0,2.0
5,ADELAIDE HILLS,BELAIR,14.0,585000.0,14.0,577500.0,9.0,737000.0,19.0,670000.0,56.0
7,ADELAIDE HILLS,BRIDGEWATER,18.0,490000.0,19.0,535000.0,19.0,535000.0,15.0,470000.0,71.0
12,ADELAIDE HILLS,CRAFERS,11.0,835250.0,8.0,752500.0,6.0,621000.0,6.0,770000.0,31.0
13,ADELAIDE HILLS,CRAFERS WEST,5.0,555000.0,8.0,616250.0,3.0,580000.0,3.0,818000.0,19.0
15,ADELAIDE HILLS,GREENHILL,0.0,0.0,5.0,587500.0,2.0,581650.0,2.0,556250.0,9.0
16,ADELAIDE HILLS,HEATHFIELD,3.0,700000.0,3.0,658000.0,1.0,898000.0,5.0,648000.0,12.0
22,ADELAIDE HILLS,MONTACUTE,1.0,490000.0,0.0,0.0,1.0,545000.0,0.0,0.0,2.0
23,ADELAIDE HILLS,MOUNT GEORGE,1.0,485000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,ADELAIDE HILLS,MYLOR,0.0,0.0,0.0,0.0,2.0,640000.0,2.0,407500.0,4.0
25,ADELAIDE HILLS,NORTON SUMMIT,1.0,690000.0,0.0,0.0,0.0,0.0,1.0,530000.0,2.0
26,ADELAIDE HILLS,PICCADILLY,2.0,794000.0,0.0,0.0,0.0,0.0,2.0,715500.0,4.0
27,ADELAIDE HILLS,ROSTREVOR,32.0,612500.0,38.0,652500.0,23.0,630000.0,26.0,637500.0,119.0
29,ADELAIDE HILLS,STIRLING,7.0,690000.0,18.0,780000.0,10.0,725000.0,12.0,900000.0,47.0
30,ADELAIDE HILLS,STONYFELL,4.0,1102500.0,3.0,755000.0,7.0,859500.0,2.0,1015000.0,16.0
31,ADELAIDE HILLS,SUMMERTOWN,4.0,550000.0,1.0,790000.0,3.0,566000.0,1.0,702112.0,9.0
32,ADELAIDE HILLS,TERINGIE,1.0,639000.0,2.0,795000.0,2.0,960000.0,1.0,1701250.0,6.0
33,ADELAIDE HILLS,UPPER STURT,1.0,477500.0,5.0,555000.0,6.0,550000.0,4.0,533500.0,16.0
34,ADELAIDE HILLS,URAIDLA,1.0,680000.0,2.0,465000.0,0.0,0.0,1.0,465000.0,4.0
35,ADELAIDE HILLS,WATERFALL GULLY,2.0,688500.0,1.0,400000.0,1.0,762000.0,2.0,1015000.0,6.0
